size,cores,time
10000,1, 0.003741
10000,1, 0.007748
10000,1, 0.008002
10000,1, 0.008548
10000,1, 0.007443
14142,2, 0.028583
14142,2, 0.010456
14142,2, 0.015988
14142,2, 0.016827
14142,2, 0.027085
17321,3, 0.021887
17321,3, 0.027910
17321,3, 0.018209
17321,3, 0.021448
17321,3, 0.018544
20000,4, 0.038243
20000,4, 0.029139
20000,4, 0.012749
20000,4, 0.030442
20000,4, 0.030721
22361,5, 0.031455
22361,5, 0.029225
22361,5, 0.025950
22361,5, 0.033031
22361,5, 0.030168
24496,6, 0.033969
24496,6, 0.031683
24496,6, 0.030356
24496,6, 0.033486
24496,6, 0.052432
26458,7, 0.031158
26458,7, 0.034132
26458,7, 0.030962
26458,7, 0.023436
26458,7, 0.031662
28284,8, 0.034710
28284,8, 0.037438
28284,8, 0.032865
28284,8, 0.032701
28284,8, 0.033970
30000,9, 0.037643
30000,9, 0.034051
30000,9, 0.033993
30000,9, 0.050902
30000,9, 0.034337
