size,cores,time
10000,1, 0.018002
10000,1, 0.016591
10000,1, 0.017214
10000,1, 0.017354
10000,1, 0.018003
14142,2, 0.014036
14142,2, 0.029357
14142,2, 0.028539
14142,2, 0.029986
14142,2, 0.022436
17321,3, 0.023811
17321,3, 0.028490
17321,3, 0.011458
17321,3, 0.010808
17321,3, 0.011765
20000,4, 0.009846
20000,4, 0.009870
20000,4, 0.010450
20000,4, 0.023274
20000,4, 0.023041
22361,5, 0.010612
22361,5, 0.019042
22361,5, 0.010800
22361,5, 0.025231
22361,5, 0.019682
24496,6, 0.020053
24496,6, 0.021348
24496,6, 0.020517
24496,6, 0.159074
24496,6, 0.010208
26458,7, 0.009044
26458,7, 0.025052
26458,7, 0.016855
26458,7, 0.029933
26458,7, 0.013277
28284,8, 0.027378
28284,8, 0.011668
28284,8, 0.011991
28284,8, 0.016488
28284,8, 0.018326
30000,9, 0.018978
30000,9, 0.025426
30000,9, 0.017622
30000,9, 0.022149
30000,9, 0.030277
