size,cores,time
12500, 1, 368.960224
12500, 2, 184.679252
12500, 3, 123.391626
12500, 4, 93.269083
12500, 5, 75.241124
12500, 6, 63.724037
12500, 7, 54.997737
12500, 8, 50.398580
12500, 9, 45.175291
12500, 10, 41.519982
12500, 11, 38.618561
12500, 12, 36.501465
12500, 13, 34.340231
12500, 14, 32.703855
12500, 15, 31.626171
12500, 16, 28.240448
12500, 17, 26.949505
12500, 18, 25.747268
12500, 19, 24.663894
12500, 20, 23.709552
12500, 21, 22.803873
12500, 22, 22.040394
12500, 23, 21.261802
12500, 24, 20.662750
12500, 25, 19.882864
12500, 26, 19.323557
12500, 27, 18.764196
12500, 28, 18.228912
12500, 29, 17.672685
12500, 30, 17.376407
12500, 31, 16.947134
12500, 32, 16.608561
12500, 33, 16.245695
12500, 34, 15.747787
12500, 35, 15.520351
12500, 36, 15.039484
12500, 37, 14.784085
12500, 38, 14.415072
12500, 39, 14.262096
12500, 40, 14.034876
12500, 41, 13.593076
12500, 42, 13.764337
12500, 43, 13.161360
12500, 44, 13.001036
12500, 45, 13.205751
12500, 46, 12.749062
12500, 47, 12.547249
12500, 48, 12.772486
12500, 49, 12.478061
12500, 50, 12.188696
12500, 51, 11.703724
12500, 52, 11.902026
12500, 53, 11.968307
12500, 54, 11.574143
12500, 55, 11.964690
12500, 56, 11.776604
12500, 57, 11.193874
12500, 58, 10.712866
12500, 59, 10.647470
12500, 60, 10.807713
12500, 61, 10.796381
12500, 62, 10.831954
12500, 63, 10.409986
12500, 64, 10.261059
12500, 65, 10.745976
12500, 66, 10.287211
12500, 67, 10.426944
12500, 68, 10.097142
12500, 69, 10.135612
12500, 70, 10.433810
12500, 71, 9.736356
12500, 72, 10.034317
12500, 73, 10.195837
12500, 74, 9.360264
12500, 75, 10.186518
12500, 76, 9.964557
12500, 77, 9.725565
12500, 78, 9.332410
12500, 79, 8.982089
12500, 80, 9.426638
12500, 81, 8.891126
12500, 82, 9.089724
12500, 83, 9.270433
12500, 84, 9.256375
12500, 85, 9.380449
12500, 86, 8.878807
12500, 87, 9.546703
12500, 88, 8.548826
12500, 89, 9.197912
12500, 90, 9.532200
12500, 91, 9.978426
12500, 92, 8.936450
12500, 93, 8.323904
12500, 94, 8.963624
12500, 95, 9.851240
12500, 96, 8.711396
12500, 97, 8.775582
12500, 98, 8.293673
12500, 99, 9.325843
12500, 100, 8.202613
12500, 101, 8.844793
12500, 102, 9.379934
12500, 103, 8.622294
12500, 104, 8.111928
12500, 105, 9.073878
12500, 106, 7.996829
12500, 107, 7.871503
12500, 108, 8.366533
12500, 109, 8.626189
12500, 110, 8.444303
12500, 111, 8.211996
12500, 112, 7.968570
12500, 113, 8.511832
12500, 114, 8.746145
12500, 115, 7.964277
12500, 116, 8.985912
12500, 117, 7.927268
12500, 118, 8.146203
12500, 119, 8.473628
12500, 120, 8.951523
12500, 121, 8.341160
12500, 122, 7.737274
12500, 123, 8.123825
12500, 124, 8.018438
12500, 125, 7.783788
12500, 126, 8.225024
12500, 127, 8.728302
12500, 128, 8.980510
12500, 129, 7.886400
12500, 130, 9.748951
12500, 131, 7.872382
12500, 132, 7.960058
12500, 133, 7.786211
12500, 134, 9.441740
12500, 135, 8.579341
12500, 136, 9.200807
12500, 137, 8.640861
12500, 138, 8.456570
12500, 139, 8.618118
12500, 140, 8.129561
12500, 141, 7.805353
12500, 142, 7.735523
12500, 143, 8.646589
12500, 144, 8.396576
12500, 145, 8.148273
12500, 146, 8.922841
12500, 147, 8.599550
12500, 148, 9.323203
12500, 149, 7.841027
12500, 150, 8.848152
12500, 151, 7.884729
12500, 152, 7.644033
12500, 153, 7.795171
12500, 154, 8.515078
12500, 155, 7.455328
12500, 156, 8.588174
12500, 157, 9.304935
12500, 158, 7.309681
12500, 159, 7.281051
12500, 160, 8.234090
12500, 161, 8.387968
12500, 162, 7.503075
12500, 163, 8.290466
12500, 164, 7.100713
12500, 165, 7.662951
12500, 166, 8.311110
12500, 167, 8.070791
12500, 168, 8.027976
12500, 169, 7.176610
12500, 170, 7.410039
12500, 171, 8.178272
12500, 172, 7.215278
12500, 173, 8.009085
12500, 174, 7.191223
12500, 175, 8.214861
12500, 176, 7.006842
12500, 177, 7.260788
12500, 178, 8.498780
12500, 179, 8.581173
12500, 180, 7.255925
12500, 181, 7.756728
12500, 182, 7.666923
12500, 183, 7.908918
12500, 184, 8.355289
12500, 185, 7.966120
12500, 186, 8.312102
12500, 187, 7.947159
12500, 188, 7.556980
12500, 189, 7.430293
12500, 190, 7.262749
12500, 191, 8.098375
12500, 192, 7.183356
12500, 193, 7.641742
12500, 194, 6.980262
12500, 195, 7.808919
12500, 196, 6.966876
12500, 197, 7.804144
12500, 198, 7.857061
12500, 199, 7.067746
12500, 200, 7.932946
12500, 201, 7.997715
12500, 202, 8.171185
12500, 203, 7.103103
12500, 204, 7.461434
12500, 205, 8.161334
12500, 206, 8.021421
12500, 207, 7.453892
12500, 208, 7.070947
12500, 209, 6.683817
12500, 210, 8.350184
12500, 211, 8.954962
12500, 212, 6.938663
12500, 213, 7.457636
12500, 214, 6.956745
12500, 215, 7.127017
12500, 216, 7.015156
12500, 217, 6.904135
12500, 218, 8.228221
12500, 219, 7.397795
12500, 220, 8.136519
12500, 221, 8.674500
12500, 222, 7.219372
12500, 223, 7.937790
12500, 224, 7.452731
12500, 225, 6.880517
12500, 226, 7.303035
12500, 227, 6.859449
12500, 228, 7.134501
12500, 229, 7.729299
12500, 230, 6.784148
12500, 231, 7.239332
12500, 232, 8.195785
12500, 233, 7.299170
12500, 234, 7.310871
12500, 235, 8.197495
12500, 236, 6.693535
12500, 237, 7.831469
12500, 238, 7.282390
12500, 239, 7.870853
12500, 240, 7.096897
12500, 241, 6.840728
12500, 242, 8.126007
12500, 243, 6.783409
12500, 244, 7.970218
12500, 245, 8.861347
12500, 246, 7.408301
12500, 247, 7.537035
12500, 248, 6.742558
12500, 249, 7.112388
12500, 250, 6.771959
12500, 251, 7.112772
12500, 252, 7.194359
12500, 253, 8.240791
12500, 254, 7.573793
12500, 255, 7.815301
