size,cores,time
17500, 1, 205.999654
17500, 1, 206.602170
17500, 1, 206.429347
17500, 1, 212.184636
17500, 1, 206.009583
17500, 2, 110.488441
17500, 2, 105.644121
17500, 2, 105.533989
17500, 2, 110.815876
17500, 2, 111.314645
17500, 3, 76.234490
17500, 3, 76.396206
17500, 3, 76.138254
17500, 3, 76.330471
17500, 3, 76.278101
17500, 4, 59.275323
17500, 4, 53.736513
17500, 4, 53.528498
17500, 4, 53.505940
17500, 4, 53.519840
17500, 5, 43.103920
17500, 5, 43.097825
17500, 5, 43.041297
17500, 5, 43.055237
17500, 5, 43.069645
17500, 6, 36.379917
17500, 6, 36.293159
17500, 6, 36.249668
17500, 6, 36.273909
17500, 6, 36.269278
17500, 7, 31.257392
17500, 7, 31.232042
17500, 7, 31.254403
17500, 7, 31.235988
17500, 7, 31.254367
17500, 8, 27.613813
17500, 8, 27.496879
17500, 8, 27.657556
17500, 8, 27.536890
17500, 8, 27.635790
17500, 9, 24.645392
17500, 9, 24.891155
17500, 9, 24.836531
17500, 9, 24.781831
17500, 9, 24.786089
17500, 10, 22.435843
17500, 10, 22.484154
17500, 10, 22.443945
17500, 10, 22.595100
17500, 10, 22.422502
17500, 11, 20.519273
17500, 11, 20.517433
17500, 11, 20.516404
17500, 11, 20.506829
17500, 11, 20.462334
17500, 12, 19.519715
17500, 12, 18.923931
17500, 12, 19.028915
17500, 12, 18.973296
17500, 12, 18.921982
17500, 13, 17.680827
17500, 13, 17.615099
17500, 13, 17.717592
17500, 13, 17.674412
17500, 13, 17.663844
17500, 14, 16.623622
17500, 14, 16.422145
17500, 14, 16.521314
17500, 14, 16.528906
17500, 14, 16.590979
17500, 15, 15.481296
17500, 15, 15.485519
17500, 15, 15.483324
17500, 15, 15.495528
17500, 15, 15.480721
17500, 16, 14.626440
17500, 16, 14.678978
17500, 16, 14.693264
17500, 16, 14.641516
17500, 16, 14.659081
17500, 17, 13.893114
17500, 17, 13.910407
17500, 17, 13.906593
17500, 17, 13.892239
17500, 17, 13.913279
17500, 18, 13.215698
17500, 18, 13.185717
17500, 18, 13.217852
17500, 18, 13.213330
17500, 18, 13.219719
17500, 19, 12.667124
17500, 19, 12.658930
17500, 19, 12.660689
17500, 19, 12.704043
17500, 19, 12.664723
17500, 20, 12.136311
17500, 20, 12.141761
17500, 20, 12.093788
17500, 20, 12.129801
17500, 20, 12.090324
17500, 21, 11.587246
17500, 21, 11.639688
17500, 21, 11.613284
17500, 21, 11.739652
17500, 21, 11.650616
17500, 22, 11.136042
17500, 22, 11.173369
17500, 22, 11.165680
17500, 22, 11.201938
17500, 22, 11.157880
17500, 23, 10.742229
17500, 23, 10.971552
17500, 23, 10.745517
17500, 23, 10.951043
17500, 23, 10.730476
17500, 24, 10.402847
17500, 24, 10.419644
17500, 24, 10.415162
17500, 24, 10.665120
17500, 24, 10.407905
17500, 25, 10.477485
17500, 25, 10.046196
17500, 25, 10.065491
17500, 25, 10.266370
17500, 25, 10.033484
17500, 26, 9.783089
17500, 26, 10.001667
17500, 26, 9.740110
17500, 26, 10.002631
17500, 26, 9.763810
17500, 27, 9.442433
17500, 27, 9.631412
17500, 27, 9.415462
17500, 27, 9.419782
17500, 27, 9.646565
17500, 28, 9.156085
17500, 28, 9.147474
17500, 28, 9.327320
17500, 28, 9.141864
17500, 28, 9.308742
17500, 29, 9.150864
17500, 29, 9.135992
17500, 29, 8.944475
17500, 29, 8.947522
17500, 29, 9.157332
17500, 30, 8.656295
17500, 30, 8.631133
17500, 30, 8.874991
17500, 30, 8.666547
17500, 30, 8.625879
17500, 31, 8.576642
17500, 31, 8.392882
17500, 31, 8.382225
17500, 31, 8.619469
17500, 31, 8.390173
17500, 32, 8.255702
17500, 32, 8.420757
17500, 32, 8.251933
17500, 32, 8.241172
17500, 32, 8.241946
17500, 33, 8.123147
17500, 33, 8.131699
17500, 33, 8.130588
17500, 33, 8.122003
17500, 33, 8.107713
17500, 34, 7.953045
17500, 34, 8.120483
17500, 34, 7.902245
17500, 34, 7.939396
17500, 34, 8.121534
17500, 35, 7.624128
17500, 35, 7.623667
17500, 35, 7.853412
17500, 35, 7.627839
17500, 35, 7.616869
17500, 36, 7.483092
17500, 36, 7.768823
17500, 36, 7.499714
17500, 36, 7.490238
17500, 36, 7.795080
17500, 37, 7.371327
17500, 37, 7.371680
17500, 37, 7.565896
17500, 37, 7.608289
17500, 37, 7.373096
17500, 38, 7.192698
17500, 38, 7.375477
17500, 38, 7.388923
17500, 38, 7.200286
17500, 38, 7.206820
17500, 39, 7.261104
17500, 39, 7.066909
17500, 39, 7.053691
17500, 39, 7.245903
17500, 39, 7.050531
17500, 40, 6.940017
17500, 40, 7.158087
17500, 40, 6.948628
17500, 40, 6.969903
17500, 40, 6.947782
17500, 41, 7.010921
17500, 41, 6.766820
