size, threads, time
10000,1, 94.168862
10000,1, 96.879820
10000,1, 94.147708
10000,1, 96.200815
10000,1, 94.466197
10000,2, 47.494147
10000,2, 49.220625
10000,2, 47.081236
10000,2, 47.450125
10000,2, 47.427745
10000,3, 33.640954
10000,3, 31.793721
10000,3, 33.598856
10000,3, 31.467196
10000,3, 33.600030
10000,4, 25.701010
10000,4, 23.965704
10000,4, 25.560412
10000,4, 25.564191
10000,4, 25.501022
10000,5, 18.983904
10000,5, 21.170516
10000,5, 19.305256
10000,5, 21.130060
10000,5, 19.300900
10000,6, 17.958577
10000,6, 17.992079
10000,6, 17.859300
10000,6, 18.038924
10000,6, 17.761417
10000,7, 14.076283
10000,7, 15.711759
10000,7, 13.647272
10000,7, 15.931980
10000,7, 14.198165
10000,8, 12.133426
10000,8, 14.641759
10000,8, 12.115671
10000,8, 12.081207
10000,8, 12.081752
10000,9, 12.818016
10000,9, 10.990899
10000,9, 10.645806
10000,9, 10.642524
10000,9, 10.643894
10000,10, 9.623658
10000,10, 9.593698
10000,10, 9.595474
10000,10, 11.555413
10000,10, 9.593607
10000,11, 8.770883
10000,11, 8.879372
10000,11, 10.899533
10000,11, 10.681834
10000,11, 10.736830
10000,12, 10.010825
10000,12, 9.944814
10000,12, 10.177183
10000,12, 9.976515
10000,12, 10.162379
10000,13, 9.228698
10000,13, 9.810280
10000,13, 9.530246
10000,13, 9.277281
10000,13, 9.343054
10000,14, 8.958817
10000,14, 8.940367
10000,14, 8.951050
10000,14, 8.908005
10000,14, 8.805801
10000,15, 8.472389
10000,15, 8.697369
10000,15, 8.543792
10000,15, 8.427417
10000,15, 8.549589
10000,16, 8.071136
10000,16, 7.945590
10000,16, 8.044855
10000,16, 8.087895
10000,16, 8.342352
10000,17, 7.588417
10000,17, 5.747377
10000,17, 5.760122
10000,17, 7.777502
10000,17, 7.642824
10000,18, 5.439016
10000,18, 7.267266
10000,18, 7.217473
10000,18, 7.422374
10000,18, 5.436978
10000,19, 5.191224
10000,19, 7.144907
10000,19, 5.163111
10000,19, 6.988055
10000,19, 6.952108
10000,20, 7.193604
10000,20, 4.935729
10000,20, 6.846731
10000,20, 7.040740
10000,20, 6.909002
10000,21, 4.700716
10000,21, 6.493696
10000,21, 6.726044
10000,21, 4.698189
10000,21, 6.495338
10000,22, 6.309737
10000,22, 4.502818
10000,22, 6.315459
10000,22, 4.499254
10000,22, 6.224301
10000,23, 4.315571
10000,23, 6.156394
10000,23, 6.298935
10000,23, 4.314244
10000,23, 6.256681
10000,24, 4.143926
10000,24, 5.977061
10000,24, 4.142998
10000,24, 6.098323
10000,24, 6.527279
10000,25, 3.999394
10000,25, 5.703270
10000,25, 3.986176
10000,25, 5.624270
10000,25, 4.000791
10000,26, 3.851194
10000,26, 3.858717
10000,26, 3.878089
10000,26, 3.860996
10000,26, 3.863978
10000,27, 3.739956
10000,27, 3.766317
10000,27, 3.736446
10000,27, 3.738399
10000,27, 3.892822
10000,28, 3.618579
