size, threads, time
17500,1, 104.983023
17500,1, 105.388546
17500,1, 105.052737
17500,1, 104.959765
17500,1, 105.039008
17500,2, 53.506076
17500,2, 53.735884
17500,2, 53.827552
17500,2, 53.639950
17500,2, 53.759006
17500,3, 36.355229
17500,3, 36.409475
17500,3, 36.358779
17500,3, 36.368003
17500,3, 36.352406
17500,4, 28.057697
17500,4, 27.617907
17500,4, 28.062339
17500,4, 27.816512
17500,4, 28.028052
17500,5, 22.977217
17500,5, 23.261228
17500,5, 22.778044
17500,5, 22.755536
17500,5, 22.744057
17500,6, 18.996558
17500,6, 19.106904
17500,6, 18.969389
17500,6, 19.047399
17500,6, 19.202506
17500,7, 16.585001
17500,7, 16.818260
17500,7, 16.625018
17500,7, 16.809571
17500,7, 16.741784
17500,8, 14.813125
17500,8, 14.725692
17500,8, 14.805182
17500,8, 14.652967
17500,8, 14.848706
17500,9, 13.709893
17500,9, 13.384300
17500,9, 13.378138
17500,9, 13.413098
17500,9, 13.585646
17500,10, 12.233338
17500,10, 12.489455
17500,10, 12.197124
17500,10, 12.072097
17500,10, 12.138663
17500,11, 11.090159
17500,11, 11.676225
17500,11, 11.262709
17500,11, 11.227643
17500,11, 11.242745
17500,12, 10.769001
17500,12, 10.653158
17500,12, 10.367038
17500,12, 10.948107
17500,12, 10.271955
