Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.33118464,483.114193
2000,2,0.33774206,473.734305
2000,3,0.34715002,460.895840
2000,4,0.34945576,457.854808
2000,5,0.35486111,450.880628
4000,1,0.117033313,1093.705687
4000,2,0.117815653,1086.443072
4000,3,0.114861006,1114.390379
4000,4,0.114519211,1117.716398
4000,5,0.122112515,1048.213609
6000,1,0.423043257,1021.172168
6000,2,0.423358250,1020.412381
6000,3,0.425603704,1015.028760
6000,4,0.421166620,1025.722314
6000,5,0.420510358,1027.323089
8000,1,1.354607832,755.938343
8000,2,1.361274786,752.236074
8000,3,1.344944337,761.369799
8000,4,1.346780950,760.331515
8000,5,1.349999736,758.518667
10000,1,2.520095465,793.620729
10000,2,2.517247220,794.518704
10000,3,2.521452713,793.193539
10000,4,2.515426998,795.093637
10000,5,2.518341021,794.173618
12000,1,4.25462864,858.534811
12000,2,4.19447242,859.819719
12000,3,4.22149186,859.242122
12000,4,4.25878437,858.446189
12000,5,4.17596726,860.215755
14000,1,6.165078900,890.175144
14000,2,6.293837123,871.964096
14000,3,6.240379672,879.433670
14000,4,6.602350008,831.219186
14000,5,6.341044915,865.472501
16000,1,7.992134412,1025.007786
16000,2,7.228826527,1133.240640
16000,3,7.510290419,1090.770069
16000,4,7.172075857,1142.207663
16000,5,7.489686134,1093.770801
18000,1,9.555546231,1220.652354
18000,2,11.499132177,1014.337414
18000,3,9.527563923,1224.237391
18000,4,9.629755814,1211.245667
18000,5,11.544091035,1010.387043
20000,1,17.584674413,909.883210
20000,2,17.553635694,911.492085
20000,3,17.757516073,901.026919
20000,4,17.290763179,925.349554
20000,5,17.274176939,926.238052
