Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.33134498,482.880411
2000,2,0.35703375,448.136906
2000,3,0.38110690,419.829712
2000,4,0.37007742,432.341968
2000,5,0.37952783,421.576463
4000,1,0.114130374,1121.524407
4000,2,0.117881997,1085.831622
4000,3,0.124033095,1031.982633
4000,4,0.117734784,1087.189322
4000,5,0.117257164,1091.617737
6000,1,0.424360775,1018.001723
6000,2,0.433378497,996.819185
6000,3,0.430601430,1003.247946
6000,4,0.429281660,1006.332299
6000,5,0.421927132,1023.873478
8000,1,1.375019887,744.716502
8000,2,1.371066081,746.864075
8000,3,1.364701784,750.347081
8000,4,1.366468559,749.376920
8000,5,1.364068736,750.695308
10000,1,2.540596821,787.216603
10000,2,2.532761044,789.652070
10000,3,2.520204759,793.586312
10000,4,2.527285056,791.363046
10000,5,2.521223880,793.265531
12000,1,4.20491175,859.596465
12000,2,4.20757163,859.539599
12000,3,4.37517862,855.971445
12000,4,4.23264155,859.003999
12000,5,4.29126946,857.754061
14000,1,5.894816816,930.987369
14000,2,5.913443694,928.054833
14000,3,5.889954280,931.755959
14000,4,4.119904562,1332.069692
14000,5,5.912500948,928.202811
16000,1,7.883615978,1039.117078
16000,2,7.905991151,1036.176217
16000,3,7.927830961,1033.321730
16000,4,7.935903504,1032.270616
16000,5,7.884867889,1038.952093
18000,1,12.949197805,900.750778
18000,2,12.940478121,901.357731
18000,3,12.678602163,919.975235
18000,4,12.966143752,899.573553
18000,5,12.519304087,931.681180
20000,1,14.297744348,1119.057637
20000,2,16.632081253,961.996262
20000,3,16.908244797,946.283910
20000,4,17.9013431,940.677722
20000,5,16.745914549,955.456924
