Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.41216569,388.193399
2000,2,0.42278192,378.445701
2000,3,0.37814451,423.118664
2000,4,0.39946318,400.537541
2000,5,0.42264165,378.571303
4000,1,0.189144067,676.732831
4000,2,0.212747296,601.652770
4000,3,0.214101295,597.847855
4000,4,0.208177584,614.859667
4000,5,0.201538776,635.113513
6000,1,0.762835260,566.308380
6000,2,0.761929812,566.981359
6000,3,0.760281320,568.210725
6000,4,0.761160129,567.554689
6000,5,0.760586202,567.982957
8000,1,1.806062638,566.979228
8000,2,1.800938854,568.592319
8000,3,1.795911535,570.183987
8000,4,1.797794994,569.586634
8000,5,1.804877452,567.351539
10000,1,3.477977248,575.046890
10000,2,3.458002354,578.368606
10000,3,3.474841190,575.565872
10000,4,3.495209031,572.211843
10000,5,3.484561937,573.960238
12000,1,5.583958805,618.915741
12000,2,4.67652667,849.630065
12000,3,4.27414031,858.118876
12000,4,4.18540192,860.013795
12000,5,4.322677719,799.504433
14000,1,9.199831198,596.532684
14000,2,8.782081485,624.908800
14000,3,9.199803909,596.534454
14000,4,8.781640458,624.940184
14000,5,9.330612412,588.171468
16000,1,14.93513615,581.260303
16000,2,13.978343710,586.049404
16000,3,10.457494784,783.361615
16000,4,11.97843287,738.161442
16000,5,9.763190257,839.069995
18000,1,18.747265695,622.170731
18000,2,18.984891259,614.383293
18000,3,18.673665701,624.622942
18000,4,18.580521377,627.754182
18000,5,16.29218938,727.671139
20000,1,24.60552614,664.988883
20000,2,15.397758058,1039.112314
20000,3,18.54808398,886.190518
20000,4,23.852989901,670.775449
20000,5,19.22995976,841.087283
