Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.20777097,770.078707
2000,2,0.18373298,870.828961
2000,3,0.20261289,789.683223
2000,4,0.19636868,814.793887
2000,5,0.18830306,849.694105
4000,1,0.65544167,1952.881635
4000,2,0.68285858,1874.473042
4000,3,0.68892494,1857.967285
4000,4,0.64889037,1972.598237
4000,5,0.64289001,1991.009317
6000,1,0.196059534,2203.412357
6000,2,0.206859470,2088.374296
6000,3,0.200238367,2157.428701
6000,4,0.200303461,2156.727586
6000,5,0.198809289,2172.936698
8000,1,0.705370230,1451.719900
8000,2,0.718520674,1425.150364
8000,3,0.711779396,1438.647994
8000,4,0.714002409,1434.168831
8000,5,0.707699250,1446.942328
10000,1,1.332942639,1500.439660
10000,2,1.352164215,1479.110287
10000,3,1.354989437,1476.026267
10000,4,1.323982187,1510.594342
10000,5,1.374720315,1454.841380
12000,1,2.97054267,1648.026021
12000,2,2.88901393,1654.458182
12000,3,2.100958613,1644.963389
12000,4,2.79582728,1661.871852
12000,5,2.68887291,1670.463159
14000,1,3.341054882,1642.594987
14000,2,3.273021348,1676.738223
14000,3,3.245160657,1691.133531
14000,4,3.219935400,1704.382020
14000,5,3.279762098,1673.292097
16000,1,4.275751826,1915.920365
16000,2,4.656274178,1759.346569
16000,3,3.762905161,2177.041315
16000,4,4.635837655,1767.102433
16000,5,4.622239148,1772.301202
18000,1,6.148475523,1897.055613
18000,2,6.585541782,1771.152684
18000,3,6.172064946,1889.805130
18000,4,6.191268664,1883.943442
18000,5,6.158353325,1894.012796
20000,1,8.421369005,1899.928621
20000,2,8.928896587,1791.934742
20000,3,7.728422174,2070.280277
20000,4,8.860385288,1805.790547
20000,5,7.766194546,2060.211073
