Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.23546699,679.500766
2000,2,0.23117435,692.118308
2000,3,0.22348522,715.931013
2000,4,0.22206646,720.505024
2000,5,0.21705157,737.152005
4000,1,0.65884860,1942.783213
4000,2,0.67634330,1892.530021
4000,3,0.66434209,1926.718206
4000,4,0.66218133,1933.005269
4000,5,0.70360593,1819.200131
6000,1,0.163742951,2638.281510
6000,2,0.164974453,2618.587255
6000,3,0.166064474,2601.399261
6000,4,0.152248053,2837.474710
6000,5,0.157316028,2746.064756
8000,1,0.379268142,2699.936764
8000,2,0.394852830,2593.371307
8000,3,0.386188911,2651.552053
8000,4,0.395988416,2585.934231
8000,5,0.394513781,2595.600076
10000,1,1.169608264,1709.974238
10000,2,1.152122413,1735.926649
10000,3,1.167921371,1712.444048
10000,4,1.174948649,1702.202051
10000,5,1.147134279,1743.475055
12000,1,2.262609937,1527.439592
12000,2,2.267288702,1524.287576
12000,3,2.247690590,1537.578177
12000,4,2.252617169,1534.215422
12000,5,2.239051470,1543.510744
14000,1,3.455205510,1588.328099
14000,2,3.435811500,1597.293682
14000,3,3.459978152,1586.137183
14000,4,3.484576741,1574.940203
14000,5,3.447944856,1591.672787
16000,1,3.332476027,2458.232237
16000,2,4.495696110,1822.187221
16000,3,4.786702609,1711.407762
16000,4,3.436524789,2383.803552
16000,5,4.707738814,1740.113529
18000,1,6.196192085,1882.446483
18000,2,6.218206681,1875.781974
18000,3,6.183827458,1886.210454
18000,4,6.168857753,1890.787641
18000,5,6.191853727,1883.765430
20000,1,7.600095389,2105.236735
20000,2,7.564585143,2115.119296
20000,3,7.559413391,2116.566349
20000,4,7.642480001,2093.561252
20000,5,7.493132749,2135.288475
