Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,,
2000,2,,
2000,3,,
2000,4,,
2000,5,,
4000,1,,
4000,2,,
4000,3,,
4000,4,,
4000,5,,
6000,1,,
6000,2,,
6000,3,,
6000,4,,
6000,5,,
8000,1,,
8000,2,,
8000,3,,
8000,4,,
8000,5,,
10000,1,,
10000,2,,
10000,3,,
10000,4,,
10000,5,,
12000,1,,
12000,2,,
12000,3,,
12000,4,,
12000,5,,
14000,1,,
14000,2,,
14000,3,,
14000,4,,
14000,5,,
16000,1,,
16000,2,,
16000,3,,
16000,4,,
16000,5,,
18000,1,,
18000,2,,
18000,3,,
18000,4,,
18000,5,,
20000,1,,
20000,2,,
20000,3,,
20000,4,,
20000,5,,
