Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.23114855,692.195560
2000,2,0.22054419,725.478191
2000,3,0.21921982,729.861013
2000,4,0.21526372,743.274343
2000,5,0.22424292,713.511936
4000,1,0.79514081,1609.777770
4000,2,0.76399212,1675.409951
4000,3,0.76065739,1682.754965
4000,4,0.79472711,1610.615750
4000,5,0.84904027,1507.584558
6000,1,0.259129425,1667.120590
6000,2,0.240845227,1793.683044
6000,3,0.226871695,1904.159970
6000,4,0.236790873,1824.394642
6000,5,0.240559800,1795.811270
8000,1,0.672922447,1521.720675
8000,2,0.613401358,1669.380067
8000,3,0.646051741,1585.012368
8000,4,0.615953834,1662.462255
8000,5,0.656480242,1559.833693
10000,1,1.145484901,1745.985476
10000,2,1.134790100,1762.440472
10000,3,1.140276211,1753.960997
10000,4,1.152282863,1735.684930
10000,5,1.111853290,1798.798473
12000,1,1.884521279,1833.887491
12000,2,1.915768091,1803.976179
12000,3,1.918050354,1801.829651
12000,4,1.796818871,1923.399212
12000,5,1.850722969,1867.378348
14000,1,2.797950673,1961.435580
14000,2,2.755305215,1991.793856
14000,3,2.713183060,2022.716447
14000,4,2.742254966,2001.272700
14000,5,2.792129477,1965.524896
16000,1,4.54456746,2020.492636
16000,2,3.910912263,2094.651951
16000,3,4.10690478,2042.541065
16000,4,4.36458885,2029.501658
16000,5,4.44081046,2025.676515
18000,1,5.375494413,2169.846921
18000,2,4.654954928,2505.717065
18000,3,5.322644529,2191.391880
18000,4,5.490415091,2124.429539
18000,5,5.63827084,2303.396188
20000,1,7.116628647,2248.255571
20000,2,7.198944492,2222.548044
20000,3,7.372380927,2170.262247
20000,4,6.537929388,2447.258000
20000,5,7.251289761,2206.504019
