Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.33932646,471.522321
2000,2,0.34207003,467.740480
2000,3,0.33225759,481.554086
2000,4,0.34533346,463.320293
2000,5,0.34900173,458.450450
4000,1,0.162783530,786.320336
4000,2,0.157018374,815.191221
4000,3,0.159829375,800.854036
4000,4,0.164839593,776.512473
4000,5,0.162950324,785.515468
6000,1,0.436286181,990.175758
6000,2,0.436991128,988.578423
6000,3,0.429870074,1004.954813
6000,4,0.437217963,988.065534
6000,5,0.451679754,956.429851
8000,1,0.964108925,1062.120652
8000,2,0.963310884,1063.000551
8000,3,0.952688300,1074.853129
8000,4,0.967002705,1058.942229
8000,5,0.989030785,1035.357054
10000,1,1.655008244,1208.453195
10000,2,1.652544042,1210.255188
10000,3,1.633574583,1224.308961
10000,4,1.659012277,1205.536588
10000,5,1.648274025,1213.390474
12000,1,2.588218056,1335.281620
12000,2,2.560169016,1349.910876
12000,3,2.611984618,1323.131835
12000,4,2.610536172,1323.865969
12000,5,2.592536223,1333.057556
14000,1,3.704042574,1481.624439
14000,2,3.703778705,1481.729994
14000,3,3.675258685,1493.228224
14000,4,3.582380883,1531.942074
14000,5,3.732268373,1470.419448
16000,1,5.115092601,1601.535033
16000,2,5.138702171,1594.176842
16000,3,5.198046323,1575.976721
16000,4,5.136598963,1594.829586
16000,5,5.145217222,1592.158241
18000,1,5.333454298,2186.950398
18000,2,5.947462068,1961.172659
18000,3,5.880958004,1983.350330
18000,4,5.943468327,1962.490478
18000,5,5.365473908,2173.899305
20000,1,6.964609984,2297.328930
20000,2,5.782041727,2767.188608
20000,3,7.199969582,2222.231611
20000,4,7.9800439,2282.518617
20000,5,7.107841276,2251.035072
