Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.27726482,577.065637
2000,2,0.27499036,581.838578
2000,3,0.27482780,582.182734
2000,4,0.27017749,592.203296
2000,5,0.27216596,587.876603
4000,1,0.193163832,662.649931
4000,2,0.193057097,663.016289
4000,3,0.193375293,661.925306
4000,4,0.192963087,663.339305
4000,5,0.193499966,661.498824
6000,1,0.614593308,702.903846
6000,2,0.614880264,702.575811
6000,3,0.614202739,703.350820
6000,4,0.614135890,703.427380
6000,5,0.614622421,702.870551
8000,1,1.526102796,670.990187
8000,2,1.461958959,700.430059
8000,3,1.473525935,694.931779
8000,4,1.525164955,671.402786
8000,5,1.521945732,672.822939
10000,1,2.886697144,692.833332
10000,2,2.868971277,697.113985
10000,3,2.864458662,698.212206
10000,4,2.874399759,695.797442
10000,5,2.860265875,699.235696
12000,1,4.869305152,709.752191
12000,2,5.396820288,640.377077
12000,3,5.403567454,639.577470
12000,4,5.399675122,640.038506
12000,5,5.413799112,638.368718
14000,1,8.247712059,665.396653
14000,2,8.174587004,671.348901
14000,3,8.298099492,661.356255
14000,4,7.716471900,711.205856
14000,5,8.224418442,667.281223
16000,1,12.453045391,657.831056
16000,2,11.967966168,684.493914
16000,3,12.64017813,679.044090
16000,4,12.91702684,677.489367
16000,5,12.571384346,651.638656
18000,1,16.894477488,690.403122
18000,2,17.388006300,670.807210
18000,3,17.389113152,670.764512
18000,4,17.514054049,665.979445
18000,5,17.441509797,668.749445
20000,1,23.387290746,684.132257
20000,2,24.567742878,651.260479
20000,3,22.824311469,701.006908
20000,4,23.246950374,688.262320
20000,5,22.952667607,697.086730
