Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.26298985,608.388499
2000,2,0.26832298,596.296299
2000,3,0.26412178,605.781167
2000,4,0.27764544,576.274546
2000,5,0.26518068,603.362206
4000,1,0.180953282,707.364899
4000,2,0.181840760,703.912588
4000,3,0.181165849,706.534928
4000,4,0.180913026,707.522299
4000,5,0.180650063,708.552202
6000,1,0.590387920,731.722289
6000,2,0.591267426,730.633857
6000,3,0.589759534,732.501935
6000,4,0.588615831,733.925214
6000,5,0.587796672,734.948020
8000,1,1.402145133,730.309563
8000,2,1.395530624,733.771071
8000,3,1.400070090,731.391955
8000,4,1.386474954,738.563648
8000,5,1.394065176,734.542414
10000,1,2.669455987,749.216323
10000,2,2.681892145,745.742145
10000,3,2.684566073,744.999358
10000,4,2.677245204,747.036542
10000,5,2.673044592,748.210489
12000,1,4.721588037,731.957124
12000,2,4.705351000,734.482932
12000,3,4.723557353,731.651961
12000,4,4.684277506,737.787203
12000,5,4.800236342,719.964550
14000,1,7.326337165,749.078274
14000,2,7.468356478,734.833697
14000,3,7.329511206,748.753886
14000,4,7.325554015,749.158356
14000,5,7.318894745,749.839995
16000,1,11.111170630,737.276051
16000,2,11.164948071,733.724864
16000,3,11.128486329,736.128864
16000,4,11.29615133,742.727638
16000,5,11.248241990,728.291586
18000,1,15.792431010,738.581666
18000,2,15.742100732,740.943042
18000,3,15.846188826,736.076045
18000,4,15.685659762,743.609142
18000,5,15.809281277,737.794451
20000,1,21.671504732,738.296680
20000,2,21.234132664,753.503816
20000,3,21.783261660,734.508920
20000,4,21.311636088,750.763570
20000,5,21.380696855,748.338565
