Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.28531023,560.793071
2000,2,0.32040760,499.363935
2000,3,0.28940641,552.855757
2000,4,0.28595756,559.523588
2000,5,0.29019583,551.351823
4000,1,0.166579879,768.400126
4000,2,0.166385027,769.299992
4000,3,0.166548621,768.544340
4000,4,0.166467025,768.921052
4000,5,0.166471544,768.900179
6000,1,0.537476849,803.755549
6000,2,0.537230488,804.124132
6000,3,0.537109028,804.305974
6000,4,0.537510775,803.704819
6000,5,0.537441298,803.808717
8000,1,1.290158028,793.701219
8000,2,1.279249421,800.469387
8000,3,1.276966002,801.900754
8000,4,1.276755752,802.032807
8000,5,1.279582550,800.260991
10000,1,2.526728195,791.537453
10000,2,2.535439137,788.817988
10000,3,2.532708888,789.668331
10000,4,2.524603150,792.203717
10000,5,2.529464311,790.681249
12000,1,4.391310969,787.008714
12000,2,4.390600857,787.136001
12000,3,4.389801722,787.279294
12000,4,4.389678278,787.301433
12000,5,4.387565124,787.680616
14000,1,6.917070604,793.399448
14000,2,6.852869528,800.832407
14000,3,6.908620542,794.369870
14000,4,6.858790302,800.141098
14000,5,6.925677852,792.413410
16000,1,10.388175256,788.588929
16000,2,10.355023477,791.113610
16000,3,10.351311014,791.397340
16000,4,10.600731322,772.776873
16000,5,10.363041558,790.501510
18000,1,14.747321229,790.923302
18000,2,14.683924852,794.338034
18000,3,14.875921603,784.085875
18000,4,14.865997239,784.609321
18000,5,14.917363206,781.907623
20000,1,20.39226439,798.434014
20000,2,20.316472851,787.538276
20000,3,19.934459246,802.630250
20000,4,20.691425788,773.267157
20000,5,20.349170657,786.272830
