Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.26407896,605.879393
2000,2,0.26422296,605.549192
2000,3,0.26755268,598.013072
2000,4,0.27123185,589.901223
2000,5,0.26096307,613.113572
4000,1,0.162831408,786.089131
4000,2,0.163063652,784.969541
4000,3,0.163407184,783.319294
4000,4,0.163534138,782.711191
4000,5,0.163165924,784.477524
6000,1,0.530451416,814.400692
6000,2,0.530061007,815.000527
6000,3,0.529746550,815.484310
6000,4,0.530437606,814.421895
6000,5,0.529937296,815.190784
8000,1,1.246697157,821.370286
8000,2,1.247883855,820.589189
8000,3,1.246585162,821.444079
8000,4,1.246348129,821.600303
8000,5,1.247319127,820.960713
10000,1,2.438026583,820.335600
10000,2,2.440504946,819.502539
10000,3,2.438871689,820.051341
10000,4,2.438676665,820.116922
10000,5,2.439421698,819.866447
12000,1,4.186944436,825.422943
12000,2,4.191721908,824.482176
12000,3,4.188479532,825.120422
12000,4,4.191711837,824.484157
12000,5,4.190365288,824.749100
14000,1,6.652506190,824.952258
14000,2,6.651864352,825.031857
14000,3,6.654231322,824.738386
14000,4,6.651885210,825.029270
14000,5,6.647517213,825.571386
16000,1,9.931769651,824.827829
16000,2,9.924883448,825.400121
16000,3,9.926777680,825.242618
16000,4,9.930904845,824.899657
16000,5,9.933319230,824.699157
18000,1,14.31435172,831.276335
18000,2,14.62291334,829.452308
18000,3,14.60240745,829.573278
18000,4,14.70236099,828.983957
18000,5,14.65632646,829.255270
20000,1,19.393794404,825.006168
20000,2,19.430379143,823.452794
20000,3,19.420286414,823.880743
20000,4,19.406999971,824.444789
20000,5,19.396405070,824.895126
