Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.31166771,513.367265
2000,2,0.28791364,555.722195
2000,3,0.29633772,539.924516
2000,4,0.28700179,557.487812
2000,5,0.28861438,554.372932
4000,1,0.166475432,768.882222
4000,2,0.166842359,767.191262
4000,3,0.166891574,766.965024
4000,4,0.166676709,767.953728
4000,5,0.166315843,769.620005
6000,1,0.538206021,802.666606
6000,2,0.537953038,803.044075
6000,3,0.537437597,803.814252
6000,4,0.537692317,803.433462
6000,5,0.537408866,803.857226
8000,1,1.275822690,802.619367
8000,2,1.278524159,800.923465
8000,3,1.280995393,799.378363
8000,4,1.280442530,799.723514
8000,5,1.277621980,801.489029
10000,1,2.544860899,785.897571
10000,2,2.551404033,783.882119
10000,3,2.552029444,783.690018
10000,4,2.558891481,781.588440
10000,5,2.544539058,785.996974
12000,1,4.395891813,786.188593
12000,2,4.391064602,787.052871
12000,3,4.380938032,788.872149
12000,4,4.382035229,788.674627
12000,5,4.370828231,790.696824
14000,1,6.913894202,793.763954
14000,2,6.898384469,795.548585
14000,3,6.902592048,795.063646
14000,4,7.270395691,754.841997
14000,5,6.895352900,795.898351
16000,1,10.905208754,751.200659
16000,2,10.345864172,791.813991
16000,3,10.456818714,783.412262
16000,4,10.360619502,790.686310
16000,5,10.434913587,785.056813
18000,1,15.143059678,770.253849
18000,2,15.77409485,773.607695
18000,3,15.103848449,772.253511
18000,4,15.128191615,771.010858
18000,5,14.610094141,798.352145
20000,1,20.416375524,783.684645
20000,2,20.297108084,788.289639
20000,3,20.350782756,786.210545
20000,4,20.431046244,783.121912
20000,5,20.420540331,783.524811
