Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.27027606,591.987318
2000,2,0.26756433,597.987034
2000,3,0.26113583,612.707954
2000,4,0.26117090,612.625679
2000,5,0.26116855,612.631192
4000,1,0.163444812,783.138959
4000,2,0.162835568,786.069049
4000,3,0.163123109,784.683426
4000,4,0.163344346,783.620634
4000,5,0.163488770,782.928393
6000,1,0.530478208,814.359560
6000,2,0.529986366,815.115308
6000,3,0.530474479,814.365284
6000,4,0.529568711,815.758165
6000,5,0.530005351,815.086110
8000,1,1.247440951,820.880539
8000,2,1.246800826,821.301990
8000,3,1.246375961,821.581956
8000,4,1.246888067,821.244526
8000,5,1.246858787,821.263812
10000,1,2.450289154,816.230197
10000,2,2.450983301,815.999032
10000,3,2.448969692,816.669968
10000,4,2.450151263,816.276134
10000,5,2.452220161,815.587455
12000,1,4.188709131,825.075194
12000,2,4.190900249,824.643822
12000,3,4.189267869,824.965151
12000,4,4.193097263,824.211742
12000,5,4.187992145,825.216447
14000,1,6.650811051,825.162519
14000,2,6.662595118,823.703062
14000,3,6.648900905,825.399578
14000,4,6.655927882,824.528165
14000,5,6.649211163,825.361064
16000,1,9.929531221,825.013771
16000,2,10.12174821,818.203851
16000,3,9.944833235,823.744331
16000,4,9.929956662,824.978424
16000,5,9.924659139,825.418776
18000,1,14.94597496,827.551124
18000,2,14.103433688,827.032640
18000,3,14.96149865,827.459988
18000,4,14.46253357,830.399374
18000,5,14.95005194,827.527187
20000,1,19.363917820,826.279070
20000,2,19.381088252,825.547038
20000,3,19.380970882,825.552037
20000,4,19.378609160,825.652650
20000,5,19.374283066,825.837010
