Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.24429322,654.950637
2000,2,0.24315442,658.018061
2000,3,0.23205170,689.501521
2000,4,0.23361405,684.890314
2000,5,0.23511724,680.511561
4000,1,0.165586490,773.009924
4000,2,0.163408634,783.312343
4000,3,0.165458631,773.607271
4000,4,0.164457739,778.315455
4000,5,0.162596333,787.225626
6000,1,0.542383792,796.483978
6000,2,0.541581115,797.664446
6000,3,0.539854664,800.215371
6000,4,0.540327043,799.515785
6000,5,0.539579543,800.623385
8000,1,1.274755564,803.291257
8000,2,1.276901126,801.941497
8000,3,1.276987840,801.887041
8000,4,1.276174075,802.398372
8000,5,1.275665428,802.718313
10000,1,2.478261592,807.017309
10000,2,2.480141106,806.405730
10000,3,2.484631084,804.948474
10000,4,2.477740784,807.186939
10000,5,2.476309388,807.653522
12000,1,4.307243526,802.369306
12000,2,4.304380344,802.903025
12000,3,4.292990339,805.033258
12000,4,4.300101400,803.701978
12000,5,4.292762822,805.075925
14000,1,6.888643189,796.673576
14000,2,6.887067632,796.855831
14000,3,6.849423156,801.235356
14000,4,6.886109562,796.966698
14000,5,6.895996052,795.824122
16000,1,10.201714508,803.002279
16000,2,10.217267978,801.779890
16000,3,10.228322162,800.913373
16000,4,10.225102982,801.165525
16000,5,10.221549510,801.444046
18000,1,14.517070925,803.467866
18000,2,14.478526484,805.606842
18000,3,14.428799733,808.383248
18000,4,14.487548278,805.105169
18000,5,14.438509524,807.839617
20000,1,19.930127717,802.804690
20000,2,20.3195384,799.872205
20000,3,19.941836464,802.333327
20000,4,19.971325427,801.148630
20000,5,19.971136192,801.156221
