Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.31190863,512.970738
2000,2,0.27056572,591.353554
2000,3,0.26759280,597.923412
2000,4,0.27338884,585.247006
2000,5,0.27023590,592.075294
4000,1,0.170940546,748.798357
4000,2,0.172426797,742.344010
4000,3,0.167927286,762.234673
4000,4,0.168726735,758.623107
4000,5,0.174029434,735.507765
6000,1,0.552171767,782.365245
6000,2,0.553610602,780.331877
6000,3,0.556701945,775.998726
6000,4,0.554712482,778.781827
6000,5,0.554043939,779.721552
8000,1,1.361417670,752.157125
8000,2,1.366689070,749.256010
8000,3,1.371585781,746.581085
8000,4,1.366223410,749.511385
8000,5,1.374009670,745.264042
10000,1,2.707534862,738.679316
10000,2,2.770808425,721.811000
10000,3,2.729934594,732.618285
10000,4,2.739876605,729.959881
10000,5,3.170730940,630.769383
12000,1,4.586135242,753.575684
12000,2,5.273044222,655.408879
12000,3,4.556065392,758.549253
12000,4,4.637588882,745.214828
12000,5,4.565654408,756.956110
14000,1,7.798661380,703.710513
14000,2,7.747447812,708.362306
14000,3,7.747697108,708.339513
14000,4,7.684077471,714.204148
14000,5,7.696129294,713.085733
16000,1,11.866817165,690.328324
16000,2,11.29897865,742.708600
16000,3,12.314282393,665.243799
16000,4,12.421887221,659.481112
16000,5,11.352750787,721.587231
18000,1,16.709763860,698.034999
18000,2,18.947369179,615.599975
18000,3,17.150349595,680.102754
18000,4,18.576186821,627.900662
18000,5,17.659333525,660.500578
20000,1,22.853411878,700.114280
20000,2,25.216503851,634.505088
20000,3,25.297442368,632.475005
20000,4,21.328866583,750.157067
20000,5,22.478461416,711.792489
