Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.16312697,980.831067
2000,2,0.15766027,1014.840327
2000,3,0.18156219,881.240747
2000,4,0.15398187,1039.083367
2000,5,0.15836406,1010.330248
4000,1,0.103618039,1235.306142
4000,2,0.103512943,1236.560340
4000,3,0.103455819,1237.243117
4000,4,0.103376269,1238.195199
4000,5,0.102719785,1246.108527
6000,1,0.330135483,1308.553676
6000,2,0.328576484,1314.762380
6000,3,0.334221875,1292.554534
6000,4,0.328937028,1313.321284
6000,5,0.330232388,1308.169688
8000,1,0.774245757,1322.577477
8000,2,0.770205327,1329.515603
8000,3,0.772306543,1325.898387
8000,4,0.774509743,1322.126686
8000,5,0.772921426,1324.843594
10000,1,1.535289843,1302.685619
10000,2,1.540202584,1298.530480
10000,3,1.536980068,1301.253049
10000,4,1.537380664,1300.913981
10000,5,1.538088507,1300.315288
12000,1,2.604837368,1326.762293
12000,2,2.615268076,1321.470648
12000,3,2.614482068,1321.867930
12000,4,2.610273370,1323.999256
12000,5,2.611350736,1323.453013
14000,1,4.199232692,1306.905428
14000,2,4.215117563,1301.980293
14000,3,4.246227270,1292.441419
14000,4,4.219472318,1300.636569
14000,5,4.227604860,1298.134566
16000,1,6.661306536,1229.788774
16000,2,6.501103791,1260.093711
16000,3,6.476322972,1264.915298
16000,4,6.492097650,1261.841772
16000,5,6.515345265,1257.339353
18000,1,8.925997742,1306.744673
18000,2,9.4454497,1295.358870
18000,3,8.883286702,1313.027530
18000,4,9.9557562,1294.625171
18000,5,8.907365995,1309.478022
20000,1,12.326371360,1298.030015
20000,2,12.239888202,1307.201482
20000,3,12.183519605,1313.249416
20000,4,12.276618148,1303.290516
20000,5,12.174751088,1314.195246
