Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.14903384,1073.581678
2000,2,0.15111951,1058.764682
2000,3,0.16728818,956.433383
2000,4,0.15479804,1033.604818
2000,5,0.15128559,1057.602380
4000,1,0.98078716,1305.074181
4000,2,0.98041483,1305.569807
4000,3,0.98344899,1301.541832
4000,4,0.98199750,1303.465640
4000,5,0.98525733,1299.152984
6000,1,0.316793746,1363.663284
6000,2,0.314845058,1372.103481
6000,3,0.316448423,1365.151376
6000,4,0.315101583,1370.986448
6000,5,0.319323021,1352.862060
8000,1,0.741324257,1381.311876
8000,2,0.732575863,1397.807451
8000,3,0.742211462,1379.660720
8000,4,0.744353028,1375.691320
8000,5,0.742551314,1379.029275
10000,1,1.429608647,1398.984263
10000,2,1.420994704,1407.464781
10000,3,1.429042568,1399.538436
10000,4,1.449472626,1379.812191
10000,5,1.443975220,1385.065320
12000,1,2.456599273,1406.822854
12000,2,2.437695671,1417.732345
12000,3,2.473609000,1397.148862
12000,4,2.456488541,1406.886270
12000,5,2.469891168,1399.251937
14000,1,3.929389302,1396.654691
14000,2,3.879881681,1414.476124
14000,3,3.890394700,1410.653783
14000,4,3.868187550,1418.752304
14000,5,3.867404034,1419.039736
16000,1,5.921249434,1383.491794
16000,2,5.846087638,1401.279027
16000,3,5.895996538,1389.417369
16000,4,5.804479761,1411.323725
16000,5,5.847540166,1400.930950
18000,1,8.342499293,1398.142162
18000,2,8.364915506,1394.395436
18000,3,8.403299621,1388.026195
18000,4,8.381898051,1391.570254
18000,5,8.418577873,1385.507169
20000,1,11.356255212,1408.915149
20000,2,11.215502519,1426.596800
20000,3,11.391002929,1404.617319
20000,4,11.441254863,1398.448002
20000,5,11.407167116,1402.626948
