Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.17174458,931.616008
2000,2,0.15991159,1000.552868
2000,3,0.16330058,979.788314
2000,4,0.15375733,1040.600796
2000,5,0.15683776,1020.162491
4000,1,0.85634781,1494.719768
4000,2,0.85633310,1494.745444
4000,3,0.86151992,1485.746261
4000,4,0.86332007,1482.648260
4000,5,0.85873109,1490.571396
6000,1,0.276927289,1559.976272
6000,2,0.277206844,1558.403082
6000,3,0.277330022,1557.710907
6000,4,0.277080833,1559.111813
6000,5,0.276716120,1561.166729
8000,1,0.633179242,1617.235582
8000,2,0.633758478,1615.757478
8000,3,0.633787130,1615.684433
8000,4,0.633973791,1615.208727
8000,5,0.634111454,1614.858072
10000,1,1.245155788,1606.224714
10000,2,1.244724311,1606.781504
10000,3,1.244777573,1606.712752
10000,4,1.244986005,1606.443761
10000,5,1.246481070,1604.516946
12000,1,2.143689369,1612.173876
12000,2,2.142953098,1612.727784
12000,3,2.142285239,1613.230553
12000,4,2.143432861,1612.366808
12000,5,2.143955553,1611.973716
14000,1,3.349885065,1638.265162
14000,2,3.360833715,1632.928156
14000,3,3.349750980,1638.330739
14000,4,3.361976266,1632.373213
14000,5,3.350214360,1638.104136
16000,1,5.17707758,1632.617999
16000,2,5.25278815,1630.158306
16000,3,5.34405954,1627.202906
16000,4,5.33840730,1627.385617
16000,5,5.36323209,1626.583454
18000,1,7.161554566,1628.696660
18000,2,7.125468251,1636.945052
18000,3,7.141718271,1633.220404
18000,4,7.139734170,1633.674269
18000,5,7.175221297,1625.594461
20000,1,9.842247122,1625.645018
20000,2,9.874976516,1620.257018
20000,3,9.872496467,1620.664039
20000,4,9.872876619,1620.601636
20000,5,9.859169562,1622.854734
