Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.18680641,856.501659
2000,2,0.16821013,951.191227
2000,3,0.16762237,954.526535
2000,4,0.17053711,938.212217
2000,5,0.16557125,966.351344
4000,1,0.89509980,1430.008140
4000,2,0.89517781,1429.883522
4000,3,0.89361061,1432.391229
4000,4,0.89436386,1431.184842
4000,5,0.89847242,1424.640280
6000,1,0.284642784,1517.691733
6000,2,0.285027508,1515.643185
6000,3,0.285473197,1513.276919
6000,4,0.285792414,1511.586658
6000,5,0.285867279,1511.190793
8000,1,0.647075746,1582.504067
8000,2,0.648749436,1578.421411
8000,3,0.648591504,1578.805756
8000,4,0.647623662,1581.165205
8000,5,0.647845765,1580.623129
10000,1,1.293567657,1546.111631
10000,2,1.288659381,1552.000497
10000,3,1.287455888,1553.451282
10000,4,1.295545597,1543.751146
10000,5,1.282138873,1559.893427
12000,1,2.260893104,1528.599470
12000,2,2.255844462,1532.020517
12000,3,2.266812078,1524.608076
12000,4,2.270047672,1522.434988
12000,5,2.242752117,1540.963878
14000,1,3.517170217,1560.345295
14000,2,3.507179944,1564.789970
14000,3,3.515582084,1561.050167
14000,4,3.517359379,1560.261380
14000,5,3.539472825,1550.513388
16000,1,5.251307512,1559.992436
16000,2,5.296591220,1546.655133
16000,3,5.281424757,1551.096603
16000,4,5.300166208,1545.611907
16000,5,5.278561162,1551.938066
18000,1,7.597164654,1535.309623
18000,2,7.601231447,1534.488205
18000,3,7.609511581,1532.818483
18000,4,7.603902148,1533.949250
18000,5,7.596143345,1535.516047
20000,1,10.602798555,1509.035555
20000,2,10.628255014,1505.421161
20000,3,10.632596732,1504.806437
20000,4,10.598528065,1509.643594
20000,5,10.609595844,1508.068755
