Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.15743659,1016.282174
2000,2,0.15784566,1013.648396
2000,3,0.15946887,1003.330619
2000,4,0.14753443,1084.492616
2000,5,0.19189675,833.781708
4000,1,0.88027869,1454.084956
4000,2,0.88461145,1446.962958
4000,3,0.88191317,1451.390050
4000,4,0.88371967,1448.423118
4000,5,0.87711005,1459.337970
6000,1,0.286393576,1508.413722
6000,2,0.286824875,1506.145518
6000,3,0.286177528,1509.552490
6000,4,0.286418739,1508.281202
6000,5,0.287255810,1503.886031
8000,1,0.643336684,1591.701555
8000,2,0.646079036,1584.945406
8000,3,0.645248759,1586.984842
8000,4,0.647249185,1582.080015
8000,5,0.643715294,1590.765373
10000,1,1.325340372,1509.046312
10000,2,1.314774959,1521.172872
10000,3,1.319229624,1516.036302
10000,4,1.331546371,1502.013031
10000,5,1.327566372,1506.516015
12000,1,2.291254391,1508.344082
12000,2,2.288526002,1510.142335
12000,3,2.375765525,1454.689010
12000,4,2.289684416,1509.378313
12000,5,2.375692230,1454.733890
14000,1,3.676169982,1492.858063
14000,2,3.664882253,1497.456022
14000,3,3.568258576,1538.005131
14000,4,3.667762549,1496.280069
14000,5,3.587489696,1529.760491
16000,1,5.578244243,1468.562444
16000,2,5.568957504,1471.011405
16000,3,5.573456895,1469.823873
16000,4,5.170558758,1584.354880
16000,5,5.569105381,1470.972345
18000,1,7.772502293,1500.675016
18000,2,7.534553528,1548.067839
18000,3,7.549433190,1545.016653
18000,4,7.799535394,1495.473693
18000,5,7.538265815,1547.305479
20000,1,10.402925753,1538.028856
20000,2,10.644403265,1503.137339
20000,3,10.616346830,1507.109767
20000,4,10.872292156,1471.630800
20000,5,10.653012337,1501.922601
