Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.14262522,1121.821232
2000,2,0.13895037,1151.490277
2000,3,0.14473371,1105.478468
2000,4,0.13055172,1225.567921
2000,5,0.14569890,1098.155168
4000,1,0.83313936,1536.357615
4000,2,0.82869996,1544.587983
4000,3,0.83564413,1531.752518
4000,4,0.82356639,1554.215927
4000,5,0.82966886,1542.784190
6000,1,0.276664745,1561.456629
6000,2,0.277473628,1556.904716
6000,3,0.276842149,1560.456027
6000,4,0.276920886,1560.012342
6000,5,0.278795726,1549.521602
8000,1,0.630430068,1624.288009
8000,2,0.631669095,1621.101947
8000,3,0.629074606,1627.787849
8000,4,0.633576173,1616.222395
8000,5,0.633529806,1616.340684
10000,1,1.264453611,1581.710853
10000,2,1.267692528,1577.669629
10000,3,1.267627551,1577.750498
10000,4,1.269555002,1575.355142
10000,5,1.265337585,1580.605859
12000,1,2.130310865,1622.298443
12000,2,2.131241526,1621.590025
12000,3,2.130359280,1622.261575
12000,4,2.130707183,1621.996691
12000,5,2.132586206,1620.567549
14000,1,3.365841182,1630.498798
14000,2,3.354641899,1635.942126
14000,3,3.358311572,1634.154510
14000,4,3.386530828,1620.537440
14000,5,3.395354683,1616.325984
16000,1,5.60415104,1618.839528
16000,2,5.50420235,1622.043240
16000,3,5.50667035,1621.963979
16000,4,5.52347682,1621.424438
16000,5,5.49038175,1622.487237
18000,1,7.175603986,1625.507765
18000,2,7.185139262,1623.350582
18000,3,7.197336354,1620.599542
18000,4,7.234817946,1612.203664
18000,5,7.177886094,1624.990958
20000,1,9.826019713,1628.329727
20000,2,9.793663110,1633.709453
20000,3,9.816602108,1629.891873
20000,4,9.813846797,1630.349478
20000,5,9.786293650,1634.939700
