Matrix Size,Iteration,Elapsed Time (s),GFLOPS
2000,1,0.14365790,1113.757058
2000,2,0.13134662,1218.150874
2000,3,0.14179908,1128.357109
2000,4,0.13175467,1214.378208
2000,5,0.13300030,1203.004805
4000,1,0.82684924,1548.045204
4000,2,0.83345722,1535.771686
4000,3,0.82448697,1552.480569
4000,4,0.83352073,1535.654668
4000,5,0.82835726,1545.226995
6000,1,0.277274315,1558.023865
6000,2,0.276837966,1560.479606
6000,3,0.277277749,1558.004570
6000,4,0.277327945,1557.722573
6000,5,0.276806575,1560.656570
8000,1,0.630715325,1623.553384
8000,2,0.632215944,1619.699740
8000,3,0.632247540,1619.618797
8000,4,0.630700500,1623.591546
8000,5,0.635830467,1610.492188
10000,1,1.265199234,1580.778700
10000,2,1.264552628,1581.587002
10000,3,1.271927857,1572.416225
10000,4,1.263663748,1582.699514
10000,5,1.273444781,1570.543168
12000,1,2.136742419,1617.415356
12000,2,2.129928417,1622.589742
12000,3,2.131555684,1621.351028
12000,4,2.130007532,1622.529474
12000,5,2.131420476,1621.453880
14000,1,3.376204542,1625.493933
14000,2,3.388026756,1619.821919
14000,3,3.385974618,1620.803644
14000,4,3.383886439,1621.803834
14000,5,3.387770359,1619.944512
16000,1,5.49473823,1622.347256
16000,2,5.83070120,1611.624433
16000,3,5.53805863,1620.956606
16000,4,5.63996407,1617.694671
16000,5,5.89916411,1609.456686
18000,1,7.230810527,1613.097170
18000,2,7.160462944,1628.944957
18000,3,7.159889321,1629.075462
18000,4,7.156523700,1629.841595
18000,5,7.163136015,1628.337082
20000,1,9.881157923,1619.243425
20000,2,9.874168071,1620.389676
20000,3,9.857950743,1623.055381
20000,4,9.917966481,1613.233926
20000,5,9.889500796,1617.877417
