Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.252452859,47.334530
1,10000,2,41.795271001,47.852304
1,10000,3,41.769462755,47.881870
1,10000,4,41.738106933,47.917842
1,10000,5,41.543239421,48.142611
2,10000,1,23.483874032,85.164824
2,10000,2,22.904812415,87.317895
2,10000,3,23.96235801,86.594197
2,10000,4,23.23443299,86.867979
2,10000,5,23.1405873,86.951207
4,10000,1,11.390487470,175.585110
4,10000,2,11.507716422,173.796427
4,10000,3,11.620525486,172.109256
4,10000,4,11.420124154,175.129445
4,10000,5,11.346777692,176.261495
16,10000,1,2.917800656,685.447786
16,10000,2,2.910047262,687.274061
16,10000,3,2.912304378,686.741405
16,10000,4,2.907648874,687.840962
16,10000,5,2.914196308,686.295564
32,10000,1,2.626324760,761.520445
32,10000,2,2.616986479,764.237804
32,10000,3,2.618177509,763.890146
32,10000,4,2.624813972,761.958760
32,10000,5,2.619693769,763.448012
48,10000,1,2.293893697,871.879984
48,10000,2,2.295102928,871.420613
48,10000,3,2.291287900,872.871541
48,10000,4,2.294048014,871.821334
48,10000,5,2.296634097,870.839636
64,10000,1,2.522619898,792.826538
64,10000,2,2.523537826,792.538150
64,10000,3,2.566882249,779.155336
64,10000,4,2.577948110,775.810806
64,10000,5,2.637911909,758.175432
80,10000,1,2.641864940,757.040971
80,10000,2,2.617908846,763.968540
80,10000,3,2.634744090,759.087005
80,10000,4,2.630019156,760.450735
80,10000,5,2.626432463,761.489217
96,10000,1,2.551599750,783.821992
96,10000,2,2.522318668,792.921222
96,10000,3,2.534518875,789.104402
96,10000,4,2.536062344,788.624146
96,10000,5,2.527607597,791.262062
112,10000,1,2.935088649,681.410424
112,10000,2,2.925550016,683.632134
112,10000,3,2.904396349,688.611250
112,10000,4,2.891724731,691.628763
112,10000,5,2.984869353,670.046077
128,10000,1,3.82473504,648.829584
128,10000,2,3.178684389,629.191123
128,10000,3,3.67869825,651.918143
128,10000,4,3.47710520,656.230304
128,10000,5,3.60667512,653.452226
