Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,41.919811415,47.710138
1,10000,2,41.881819734,47.753417
1,10000,3,41.758373697,47.894586
1,10000,4,41.615451125,48.059073
1,10000,5,41.586418564,48.092624
2,10000,1,21.247487784,94.128775
2,10000,2,21.223964025,94.233104
2,10000,3,21.132938696,94.638991
2,10000,4,21.131781527,94.644174
2,10000,5,21.217464738,94.261969
4,10000,1,11.770441801,169.917156
4,10000,2,11.779720825,169.783311
4,10000,3,11.771454889,169.902533
4,10000,4,11.756702915,170.115722
4,10000,5,11.730643982,170.493624
16,10000,1,3.58853209,653.839810
16,10000,2,3.103166667,644.502927
16,10000,3,3.24906422,661.177478
16,10000,4,3.30033263,660.058761
16,10000,5,3.22972969,661.600358
32,10000,1,2.278892606,877.619241
32,10000,2,2.286110560,874.848328
32,10000,3,2.288361724,873.987700
32,10000,4,2.284108195,875.615264
32,10000,5,2.285552136,875.062077
48,10000,1,2.175572757,919.298145
48,10000,2,2.195985020,910.753025
48,10000,3,2.181514466,916.794287
48,10000,4,2.186620104,914.653623
48,10000,5,2.179961092,917.447567
64,10000,1,2.394046158,835.405781
64,10000,2,2.385982972,838.228949
64,10000,3,2.406987569,830.914138
64,10000,4,2.445296981,817.896565
64,10000,5,2.405737093,831.346038
80,10000,1,2.449144495,816.611680
80,10000,2,2.221483107,900.299441
80,10000,3,2.436051819,821.000598
80,10000,4,2.237049013,894.034949
80,10000,5,2.446688479,817.431405
96,10000,1,2.167610685,922.674913
96,10000,2,2.364113177,845.983187
96,10000,3,2.371874528,843.214924
96,10000,4,2.198314060,909.788113
96,10000,5,2.369254794,844.147284
112,10000,1,2.767515006,722.669975
112,10000,2,2.780291416,719.349054
112,10000,3,2.789245552,717.039774
112,10000,4,2.775761074,720.523109
112,10000,5,2.459262327,813.251998
128,10000,1,3.159074130,633.096888
128,10000,2,3.122623406,640.487097
128,10000,3,3.95003420,646.202840
128,10000,4,3.58059987,654.009407
128,10000,5,3.97004088,645.785392
