Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,43.598642727,45.872988
1,10000,2,43.330032410,46.157362
1,10000,3,43.309620341,46.179116
1,10000,4,43.789541213,45.673006
1,10000,5,43.790356033,45.672157
2,10000,1,22.492937012,88.916801
2,10000,2,22.396692627,89.298899
2,10000,3,22.445246460,89.105727
2,10000,4,22.478257582,88.974868
2,10000,5,22.438818537,89.131252
4,10000,1,11.399067343,175.452951
4,10000,2,11.416778831,175.180761
4,10000,3,11.397897965,175.470951
4,10000,4,11.416911744,175.178721
4,10000,5,11.453163761,174.624238
16,10000,1,3.929736908,508.939923
16,10000,2,3.917207584,510.567785
16,10000,3,3.937803170,507.897402
16,10000,4,3.950153938,506.309382
16,10000,5,3.912481789,511.184488
32,10000,1,3.472706968,575.919598
32,10000,2,3.465873613,577.055087
32,10000,3,3.473702631,575.754523
32,10000,4,3.472465566,575.959635
32,10000,5,3.474060652,575.695188
48,10000,1,3.434532393,582.320902
48,10000,2,3.433675023,582.466304
48,10000,3,3.421644427,584.514272
48,10000,4,3.422780312,584.320295
48,10000,5,3.428983171,583.263288
64,10000,1,3.733937524,535.627601
64,10000,2,3.775115167,529.785162
64,10000,3,3.803233183,525.868361
64,10000,4,3.746135943,533.883455
64,10000,5,3.738753347,534.937669
80,10000,1,3.691204456,541.828561
80,10000,2,3.656527912,546.966972
80,10000,3,3.609726055,554.058665
80,10000,4,3.680699950,543.374909
80,10000,5,3.712091648,538.779801
96,10000,1,3.617728678,552.833056
96,10000,2,3.611637436,553.765442
96,10000,3,3.623054160,552.020453
96,10000,4,3.624754476,551.761509
96,10000,5,3.612393749,553.649502
112,10000,1,3.703188327,540.075152
112,10000,2,3.690196239,541.976597
112,10000,3,3.714598816,538.416152
112,10000,4,3.701887183,540.264979
112,10000,5,3.718669385,537.826785
128,10000,1,3.822447912,523.224919
128,10000,2,3.816047094,524.102547
128,10000,3,3.809490473,525.004594
128,10000,4,3.821421367,523.365473
128,10000,5,3.816351864,524.060692
