Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,,
1,10000,2,,
1,10000,3,,
1,10000,4,,
1,10000,5,,
2,10000,1,,
2,10000,2,,
2,10000,3,,
2,10000,4,,
2,10000,5,,
4,10000,1,,
4,10000,2,,
4,10000,3,,
4,10000,4,,
4,10000,5,,
16,10000,1,,
16,10000,2,,
16,10000,3,,
16,10000,4,,
16,10000,5,,
32,10000,1,,
32,10000,2,,
32,10000,3,,
32,10000,4,,
32,10000,5,,
48,10000,1,,
48,10000,2,,
48,10000,3,,
48,10000,4,,
48,10000,5,,
64,10000,1,,
64,10000,2,,
64,10000,3,,
64,10000,4,,
64,10000,5,,
80,10000,1,,
80,10000,2,,
80,10000,3,,
80,10000,4,,
80,10000,5,,
96,10000,1,,
96,10000,2,,
96,10000,3,,
96,10000,4,,
96,10000,5,,
112,10000,1,,
112,10000,2,,
112,10000,3,,
112,10000,4,,
112,10000,5,,
128,10000,1,,
128,10000,2,,
128,10000,3,,
128,10000,4,,
128,10000,5,,
