Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,31.423117080,63.647409
1,10000,2,31.450806590,63.591374
1,10000,3,31.6856201,64.501863
1,10000,4,31.91528978,64.326203
1,10000,5,31.138783687,64.228585
2,10000,1,16.557921763,120.788105
2,10000,2,16.473070357,121.410275
2,10000,3,16.457915040,121.522076
2,10000,4,16.592948907,120.533126
2,10000,5,16.554042522,120.816411
4,10000,1,11.919977967,167.785545
4,10000,2,12.216706372,163.710246
4,10000,3,12.284863338,162.801974
4,10000,4,12.512859530,159.835567
4,10000,5,12.435589135,160.828729
16,10000,1,2.699279740,740.938396
16,10000,2,2.748871298,727.571350
16,10000,3,2.764228003,723.529317
16,10000,4,2.776043946,720.449690
16,10000,5,2.754625748,726.051443
32,10000,1,1.552566028,1288.189980
32,10000,2,1.518502165,1317.087355
32,10000,3,1.546679721,1293.092534
32,10000,4,1.559238014,1282.677809
32,10000,5,1.552006198,1288.654647
48,10000,1,1.381466994,1447.736362
48,10000,2,1.361874314,1468.564301
48,10000,3,1.361415174,1469.059577
48,10000,4,1.326482021,1507.747537
48,10000,5,1.342875293,1489.341572
64,10000,1,1.345460333,1486.480092
64,10000,2,1.279955006,1562.554926
64,10000,3,1.304332329,1533.351551
64,10000,4,1.299956390,1538.513150
64,10000,5,1.299873946,1538.610729
80,10000,1,1.214273355,1647.075588
80,10000,2,1.210301030,1652.481449
80,10000,3,1.218449772,1641.429992
80,10000,4,1.229737074,1626.363913
80,10000,5,1.240627851,1612.086975
96,10000,1,1.363947436,1466.332167
96,10000,2,1.333907783,1499.354022
96,10000,3,1.339002680,1493.648990
96,10000,4,1.347203568,1484.556638
96,10000,5,1.355090294,1475.916409
112,10000,1,1.434871851,1393.852697
112,10000,2,1.430768580,1397.850098
112,10000,3,1.467496491,1362.865269
112,10000,4,1.386344768,1442.642585
112,10000,5,1.406695404,1421.771902
128,10000,1,1.182920449,1690.730769
128,10000,2,1.201403452,1664.719705
128,10000,3,1.215849170,1644.940877
128,10000,4,1.209443840,1653.652641
128,10000,5,1.227158254,1629.781647
