Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.596901691,97.101983
1,10000,2,20.664893347,96.782498
1,10000,3,20.741297154,96.425985
1,10000,4,20.736940255,96.446244
1,10000,5,20.702035588,96.608857
2,10000,1,11.284717821,177.230838
2,10000,2,11.49497148,181.003712
2,10000,3,11.31945173,181.291691
2,10000,4,11.91672015,180.315465
2,10000,5,11.122635790,179.813494
4,10000,1,5.659029796,353.417471
4,10000,2,5.610711168,356.461051
4,10000,3,5.626672845,355.449847
4,10000,4,5.604337236,356.866462
4,10000,5,5.626319881,355.472146
16,10000,1,1.523761926,1312.540999
16,10000,2,1.536090923,1302.006262
16,10000,3,1.493532720,1339.106920
16,10000,4,1.571983470,1272.278009
16,10000,5,1.485066876,1346.740697
32,10000,1,1.561593085,1280.743376
32,10000,2,1.538252349,1300.176789
32,10000,3,1.537881084,1300.490669
32,10000,4,1.532838610,1304.768804
32,10000,5,1.542524844,1296.575551
48,10000,1,1.698700825,1177.370359
48,10000,2,1.689257406,1183.952187
48,10000,3,1.712891509,1167.616273
48,10000,4,1.695075883,1179.888181
48,10000,5,1.694841299,1180.051490
64,10000,1,1.645540275,1215.406290
64,10000,2,1.709779205,1169.741680
64,10000,3,1.675096364,1193.961161
64,10000,4,1.676744499,1192.787572
64,10000,5,1.668351557,1198.788104
80,10000,1,1.757642066,1137.888105
80,10000,2,1.754772190,1139.749086
80,10000,3,1.735394612,1152.475631
80,10000,4,1.752996617,1140.903514
80,10000,5,1.749041386,1143.483520
96,10000,1,1.821403288,1098.054458
96,10000,2,1.806332276,1107.216001
96,10000,3,1.796687230,1113.159801
96,10000,4,1.793748771,1114.983342
96,10000,5,1.803977843,1108.661067
112,10000,1,1.687283606,1185.337185
112,10000,2,1.708282971,1170.766222
112,10000,3,1.696586086,1178.837913
112,10000,4,1.727417126,1157.797946
112,10000,5,1.724017264,1160.081190
128,10000,1,1.663025477,1202.627397
128,10000,2,1.646399707,1214.771839
128,10000,3,1.638903022,1220.328459
128,10000,4,1.665375816,1200.930133
128,10000,5,1.660291212,1204.607954
