Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.432978808,65.718181
1,10000,2,30.332285000,65.936345
1,10000,3,30.416884803,65.752953
1,10000,4,30.354336818,65.888443
1,10000,5,30.298001544,66.010954
2,10000,1,15.758572310,126.915050
2,10000,2,16.82052304,124.362237
2,10000,3,15.761171689,126.894119
2,10000,4,15.763818375,126.872814
2,10000,5,15.757680153,126.922236
4,10000,1,7.864992679,254.291400
4,10000,2,7.836842817,255.204812
4,10000,3,7.858518870,254.500884
4,10000,4,7.834394936,255.284552
4,10000,5,7.862832725,254.361255
6,10000,1,5.284370302,378.474612
6,10000,2,5.266765851,379.739684
6,10000,3,5.286012974,378.356998
6,10000,4,5.273091097,379.284174
6,10000,5,5.285126861,378.420434
8,10000,1,4.151183655,481.790296
8,10000,2,4.155197552,481.324889
8,10000,3,4.156220602,481.206411
8,10000,4,4.152455547,481.642724
8,10000,5,4.156076526,481.223093
10,10000,1,3.292038259,607.526354
10,10000,2,3.275064631,610.674971
10,10000,3,3.284760814,608.872339
10,10000,4,3.450178928,579.680081
10,10000,5,3.287814512,608.306823
12,10000,1,2.701505832,740.327848
12,10000,2,2.685703965,744.683713
12,10000,3,2.689604311,743.603805
12,10000,4,2.714075669,736.899130
12,10000,5,2.678864458,746.584992
14,10000,1,2.460761512,812.756535
14,10000,2,2.462721713,812.109622
14,10000,3,2.455363907,814.543211
14,10000,4,2.464121089,811.648425
14,10000,5,2.462018895,812.341450
16,10000,1,2.168017195,922.501908
16,10000,2,2.166726875,923.051273
16,10000,3,2.167383694,922.771545
16,10000,4,2.169101116,922.040925
16,10000,5,2.168199291,922.424432
18,10000,1,1.972352532,1014.017508
18,10000,2,1.982931351,1008.607786
18,10000,3,1.975439308,1012.433028
18,10000,4,1.984303318,1007.910425
18,10000,5,1.984009135,1008.059875
20,10000,1,1.826905026,1094.747659
20,10000,2,1.829837000,1092.993529
20,10000,3,1.825311954,1095.703118
20,10000,4,1.830204592,1092.774004
20,10000,5,1.837165392,1088.633614
22,10000,1,1.713036853,1167.517206
22,10000,2,1.679502440,1190.828874
22,10000,3,1.689261670,1183.949198
22,10000,4,1.694022705,1180.621720
22,10000,5,1.687416874,1185.243570
24,10000,1,1.659821858,1204.948586
24,10000,2,1.677800450,1192.036872
24,10000,3,1.656487772,1207.373839
24,10000,4,1.673087753,1195.394561
24,10000,5,1.654373360,1208.916952
