Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.466241641,67.874282
1,10000,2,29.471977036,67.861074
1,10000,3,29.475669284,67.852573
1,10000,4,29.475608025,67.852714
1,10000,5,29.471625433,67.861883
2,10000,1,16.206271284,123.409016
2,10000,2,16.339933196,122.399521
2,10000,3,16.190940667,123.525868
2,10000,4,16.318481798,122.560421
2,10000,5,16.189887313,123.533905
4,10000,1,7.749271329,258.088782
4,10000,2,7.630331996,262.111793
4,10000,3,7.654145541,261.296312
4,10000,4,7.646104251,261.571113
4,10000,5,7.774189648,257.261540
6,10000,1,4.973708234,402.114460
6,10000,2,4.974990055,402.010854
6,10000,3,4.966671627,402.684162
6,10000,4,4.965855450,402.750346
6,10000,5,4.970434405,402.379317
8,10000,1,3.730617057,536.104341
8,10000,2,3.714378696,538.448059
8,10000,3,3.731721047,535.945741
8,10000,4,3.707979982,539.377238
8,10000,5,3.734300935,535.575476
10,10000,1,2.982408731,670.598895
10,10000,2,2.985334574,669.941660
10,10000,3,2.980330890,671.066426
10,10000,4,2.986623967,669.652431
10,10000,5,2.986121787,669.765047
12,10000,1,2.495700893,801.378084
12,10000,2,2.495825627,801.338034
12,10000,3,2.494943206,801.621454
12,10000,4,2.493843395,801.974977
12,10000,5,2.490148693,803.164890
14,10000,1,2.147810790,931.180721
14,10000,2,2.146712473,931.657139
14,10000,3,2.146205849,931.877062
14,10000,4,2.149606037,930.403044
14,10000,5,2.146852471,931.596384
16,10000,1,1.883682941,1061.749808
16,10000,2,1.882495837,1062.419348
16,10000,3,1.884273131,1061.417247
16,10000,4,1.878059523,1064.928973
16,10000,5,1.885426145,1060.768148
18,10000,1,1.675414812,1193.734224
18,10000,2,1.678813878,1191.317290
18,10000,3,1.674925641,1194.082860
18,10000,4,1.678134912,1191.799292
18,10000,5,1.678876603,1191.272781
20,10000,1,1.517864309,1317.640838
20,10000,2,1.519038073,1316.622694
20,10000,3,1.520128941,1315.677865
20,10000,4,1.518420099,1317.158540
20,10000,5,1.517419129,1318.027407
22,10000,1,1.381610532,1447.585954
22,10000,2,1.381178206,1448.039066
22,10000,3,1.381868566,1447.315649
22,10000,4,1.380977719,1448.249289
22,10000,5,1.381413224,1447.792713
24,10000,1,1.273747329,1570.170123
24,10000,2,1.271644862,1572.766155
24,10000,3,1.276455339,1566.838995
24,10000,4,1.277345651,1565.746905
24,10000,5,1.274761297,1568.921181
