Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.509139128,67.775613
1,10000,2,29.523842562,67.741860
1,10000,3,29.587014946,67.597221
1,10000,4,29.505883370,67.783092
1,10000,5,29.579479588,67.614442
2,10000,1,15.282472281,130.868878
2,10000,2,14.943413245,133.838231
2,10000,3,15.469943598,129.282954
2,10000,4,15.476350793,129.229431
2,10000,5,15.276534084,130.919748
4,10000,1,7.451008547,268.420038
4,10000,2,7.434946463,268.999919
4,10000,3,7.453069160,268.345826
4,10000,4,7.436578791,268.940874
4,10000,5,7.453895838,268.316065
6,10000,1,4.885059471,409.411597
6,10000,2,4.884251328,409.479338
6,10000,3,4.859221801,411.588539
6,10000,4,4.882614295,409.616627
6,10000,5,4.884932704,409.422222
8,10000,1,3.704980973,539.813838
8,10000,2,3.712991923,538.649165
8,10000,3,3.712100930,538.778454
8,10000,4,3.713329629,538.600178
8,10000,5,3.730641731,536.100796
10,10000,1,2.948121984,678.397980
10,10000,2,2.948882301,678.223068
10,10000,3,2.953101091,677.254160
10,10000,4,2.948929146,678.212294
10,10000,5,2.949841426,678.002547
12,10000,1,2.440827428,819.394266
12,10000,2,2.440364544,819.549688
12,10000,3,2.438085333,820.315833
12,10000,4,2.439645955,819.791083
12,10000,5,2.439641567,819.792558
14,10000,1,2.114090250,946.033406
14,10000,2,2.116356687,945.020285
14,10000,3,2.115454832,945.423164
14,10000,4,2.116716367,944.859704
14,10000,5,2.113154435,946.452359
16,10000,1,1.865291697,1072.218358
16,10000,2,1.861253386,1074.544721
16,10000,3,1.864904436,1072.441012
16,10000,4,1.866574839,1071.481281
16,10000,5,1.867696607,1070.837733
18,10000,1,1.659895291,1204.895279
18,10000,2,1.661914384,1203.431428
18,10000,3,1.661701593,1203.585535
18,10000,4,1.663646822,1202.178235
18,10000,5,1.663760322,1202.096224
20,10000,1,1.515926370,1319.325292
20,10000,2,1.511425447,1323.254153
20,10000,3,1.512175174,1322.598092
20,10000,4,1.512366601,1322.430685
20,10000,5,1.510923810,1323.693483
22,10000,1,1.377745594,1451.646813
22,10000,2,1.379947914,1449.330065
22,10000,3,1.377297770,1452.118811
22,10000,4,1.378423606,1450.932784
22,10000,5,1.379855438,1449.427197
24,10000,1,1.274982140,1568.649424
24,10000,2,1.272923453,1571.186386
24,10000,3,1.275410579,1568.122480
24,10000,4,1.273225859,1570.813211
24,10000,5,1.272493058,1571.717808
