Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,28.690089432,69.710483
1,10000,2,28.680496157,69.733801
1,10000,3,28.689521739,69.711863
1,10000,4,28.682645742,69.728574
1,10000,5,28.693942683,69.701122
2,10000,1,14.919614256,134.051723
2,10000,2,14.545653707,137.498117
2,10000,3,14.876561387,134.439670
2,10000,4,14.881253310,134.397282
2,10000,5,14.881720851,134.393060
4,10000,1,7.416501334,269.668933
4,10000,2,7.424911077,269.363495
4,10000,3,7.392560932,270.542241
4,10000,4,7.391143660,270.594118
4,10000,5,7.395711269,270.426998
6,10000,1,4.954842156,403.645553
6,10000,2,4.902702362,407.938286
6,10000,3,4.904651617,407.776159
6,10000,4,4.901661226,408.024934
6,10000,5,4.880379553,409.804192
8,10000,1,3.753611761,532.820155
8,10000,2,3.783618544,528.594513
8,10000,3,4.14611260,498.180240
8,10000,4,3.974147099,503.252635
8,10000,5,3.856446199,518.612188
10,10000,1,3.147885133,635.347198
10,10000,2,3.43329072,657.175071
10,10000,3,3.23307299,661.527196
10,10000,4,3.10817687,664.271373
10,10000,5,3.51515455,655.412050
12,10000,1,2.490959945,802.903316
12,10000,2,2.491445907,802.746708
12,10000,3,2.482534248,805.628362
12,10000,4,2.484710136,804.922864
12,10000,5,2.482302895,805.703447
14,10000,1,2.154818103,928.152588
14,10000,2,2.155620924,927.806915
14,10000,3,2.148275058,930.979482
14,10000,4,2.179899862,917.473337
14,10000,5,2.164153567,924.148836
16,10000,1,1.909947590,1047.149152
16,10000,2,1.917932230,1042.789713
16,10000,3,1.917298173,1043.134567
16,10000,4,1.918885585,1042.271627
16,10000,5,1.909402494,1047.448092
18,10000,1,1.716157000,1165.394541
18,10000,2,1.716449645,1165.195848
18,10000,3,1.723454071,1160.460284
18,10000,4,1.715118219,1166.100376
18,10000,5,1.707346407,1171.408445
20,10000,1,1.577310104,1267.981480
20,10000,2,1.564755149,1278.155244
20,10000,3,1.569656979,1274.163736
20,10000,4,1.559936495,1282.103474
20,10000,5,1.568736903,1274.911042
22,10000,1,1.456503211,1373.151796
22,10000,2,1.460549042,1369.348062
22,10000,3,1.464262877,1365.874961
22,10000,4,1.459423895,1370.403765
22,10000,5,1.462806722,1367.234625
24,10000,1,1.427493532,1401.057136
24,10000,2,1.470845940,1359.761716
24,10000,3,1.413628139,1414.799228
24,10000,4,1.414610123,1413.817113
24,10000,5,1.413270024,1415.157731
