Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,28.660124875,69.783367
1,10000,2,28.669009473,69.761741
1,10000,3,28.662669574,69.777171
1,10000,4,28.666583209,69.767645
1,10000,5,28.656162590,69.793016
2,10000,1,16.995159122,117.680569
2,10000,2,17.929727031,111.546595
2,10000,3,16.988265097,117.728325
2,10000,4,16.863573518,118.598825
2,10000,5,16.954510389,117.962710
4,10000,1,8.132122185,245.938262
4,10000,2,8.149377408,245.417521
4,10000,3,8.96322554,247.025731
4,10000,4,8.317546542,240.455523
4,10000,5,8.416170160,237.637781
6,10000,1,5.399643473,370.394825
6,10000,2,5.313504119,376.399445
6,10000,3,5.599685329,357.162927
6,10000,4,5.460450188,366.270167
6,10000,5,5.820885596,343.590330
8,10000,1,4.52447944,493.528857
8,10000,2,3.957519590,505.367050
8,10000,3,3.931080661,508.765953
8,10000,4,3.951071473,506.191805
8,10000,5,3.937596272,507.924089
10,10000,1,3.682024273,543.179472
10,10000,2,3.444836569,580.579067
10,10000,3,3.428442364,583.355293
10,10000,4,3.408949894,586.690935
10,10000,5,3.374545876,592.672340
12,10000,1,2.615693872,764.615470
12,10000,2,2.691807279,742.995242
12,10000,3,2.601476538,768.794172
12,10000,4,2.621950546,762.790894
12,10000,5,2.686445229,744.478234
14,10000,1,2.261739738,884.275041
14,10000,2,2.276185222,878.663116
14,10000,3,2.247099002,890.036442
14,10000,4,2.272642426,880.032854
14,10000,5,2.432049790,822.351585
16,10000,1,1.933101172,1034.606998
16,10000,2,1.953852845,1023.618542
16,10000,3,1.938288300,1031.838246
16,10000,4,1.937674088,1032.165323
16,10000,5,1.937553399,1032.229615
18,10000,1,1.737349236,1151.179025
18,10000,2,1.743509614,1147.111541
18,10000,3,1.740087891,1149.367230
18,10000,4,1.728801674,1156.870698
18,10000,5,1.749720778,1143.039521
20,10000,1,1.578699112,1266.865855
20,10000,2,1.577441920,1267.875523
20,10000,3,1.575649137,1269.318120
20,10000,4,1.588612886,1258.959950
20,10000,5,1.592486417,1255.897682
22,10000,1,1.454850518,1374.711680
22,10000,2,1.447932902,1381.279476
22,10000,3,1.462099626,1367.895843
22,10000,4,1.464707237,1365.460585
22,10000,5,1.461368495,1368.580209
24,10000,1,1.404608660,1423.884144
24,10000,2,1.405746161,1422.731966
24,10000,3,1.413120921,1415.307049
24,10000,4,1.411153298,1417.280463
24,10000,5,1.404706528,1423.784940
