Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,28.702373763,69.680648
1,10000,2,28.691990158,69.705865
1,10000,3,28.703712996,69.677397
1,10000,4,28.701394499,69.683025
1,10000,5,28.706716692,69.670106
2,10000,1,15.629720825,127.961339
2,10000,2,15.628708015,127.969631
2,10000,3,15.630446374,127.955399
2,10000,4,15.725594506,127.181201
2,10000,5,15.705765592,127.341771
4,10000,1,7.418281331,269.604226
4,10000,2,7.416259424,269.677729
4,10000,3,7.417505496,269.632426
4,10000,4,7.417635956,269.627684
4,10000,5,7.448943102,268.494466
6,10000,1,4.944323552,404.504272
6,10000,2,4.945540043,404.404773
6,10000,3,4.946527925,404.324009
6,10000,4,4.945863569,404.378320
6,10000,5,4.947589687,404.237240
8,10000,1,3.954660817,505.732373
8,10000,2,3.955178826,505.666137
8,10000,3,3.945677127,506.883847
8,10000,4,3.927293384,509.256581
8,10000,5,3.957643171,505.351269
10,10000,1,3.153349298,634.246260
10,10000,2,3.250925713,615.209382
10,10000,3,3.139332214,637.078163
10,10000,4,3.183167083,628.305065
10,10000,5,3.227673005,619.641456
12,10000,1,2.498731424,800.406150
12,10000,2,2.523288857,792.616348
12,10000,3,2.545754170,785.621810
12,10000,4,2.555552405,782.609660
12,10000,5,2.500721776,799.769098
14,10000,1,2.193603360,911.741857
14,10000,2,2.206379513,906.462369
14,10000,3,2.250085589,888.855077
14,10000,4,2.201392609,908.515815
14,10000,5,2.296657471,870.830773
16,10000,1,1.962837940,1018.932821
16,10000,2,1.906116726,1049.253686
16,10000,3,1.911217541,1046.453351
16,10000,4,1.909492158,1047.398907
16,10000,5,1.905443929,1049.624169
18,10000,1,1.711890519,1168.299011
18,10000,2,1.705256528,1172.844066
18,10000,3,1.698634528,1177.416311
18,10000,4,1.708010650,1170.952886
18,10000,5,1.706119475,1172.250847
20,10000,1,1.561341769,1280.949527
20,10000,2,1.550145963,1290.201083
20,10000,3,1.561392933,1280.907552
20,10000,4,1.556885086,1284.616327
20,10000,5,1.566699448,1276.569033
22,10000,1,1.447384828,1381.802518
22,10000,2,1.453135115,1376.334506
22,10000,3,1.453434830,1376.050690
22,10000,4,1.459321469,1370.499950
22,10000,5,1.454732966,1374.822766
24,10000,1,1.411840886,1416.590226
24,10000,2,1.398787215,1429.810037
24,10000,3,1.405441337,1423.040541
24,10000,4,1.403009868,1425.506724
24,10000,5,1.423075154,1405.407153
