Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.657182957,127.736899
1,10000,2,15.641353100,127.866175
1,10000,3,15.640010604,127.877151
1,10000,4,15.680417721,127.547622
1,10000,5,15.724192211,127.192543
2,10000,1,9.330991039,214.339505
2,10000,2,9.433384202,212.012991
2,10000,3,9.351116940,213.878194
2,10000,4,9.243894625,216.359022
2,10000,5,9.329540277,214.372835
4,10000,1,4.665235455,428.702907
4,10000,2,4.599489023,434.830911
4,10000,3,4.660886471,429.102921
4,10000,4,4.677911026,427.541266
4,10000,5,4.586506664,436.061723
6,10000,1,3.233791170,618.469126
6,10000,2,3.264539439,612.643847
6,10000,3,3.143247587,636.284589
6,10000,4,3.162630988,632.384874
6,10000,5,3.130786061,638.817205
8,10000,1,2.286991765,874.511238
8,10000,2,2.401480590,832.819557
8,10000,3,2.342317883,853.855070
8,10000,4,2.322746214,861.049730
8,10000,5,2.368444762,844.435991
10,10000,1,1.896735073,1054.443516
10,10000,2,1.851927546,1079.955857
10,10000,3,1.846821854,1082.941484
10,10000,4,1.837566924,1088.395733
10,10000,5,1.841843405,1085.868644
12,10000,1,1.542023746,1296.996888
12,10000,2,1.539310322,1299.283173
12,10000,3,1.533315269,1304.363193
12,10000,4,1.532409247,1305.134385
12,10000,5,1.530345335,1306.894564
14,10000,1,1.338554591,1494.148997
14,10000,2,1.334377597,1498.826123
14,10000,3,1.328870532,1505.037513
14,10000,4,1.327586669,1506.492982
14,10000,5,1.336178980,1496.805465
16,10000,1,1.191802661,1678.130168
16,10000,2,1.186163432,1686.108293
16,10000,3,1.188312568,1683.058863
16,10000,4,1.186594451,1685.495831
16,10000,5,1.187866284,1683.691192
18,10000,1,1.123402433,1780.305918
18,10000,2,1.124639332,1778.347905
18,10000,3,1.114341925,1794.781256
18,10000,4,1.123787309,1779.696197
18,10000,5,1.110220607,1801.443774
20,10000,1,0.965653938,2071.135343
20,10000,2,0.961525379,2080.028301
20,10000,3,0.970497607,2060.798487
20,10000,4,0.966111037,2070.155420
20,10000,5,0.969987168,2061.882946
22,10000,1,0.896382826,2231.189557
22,10000,2,0.902132254,2216.969841
22,10000,3,0.891658373,2243.011517
22,10000,4,0.899362790,2223.796695
22,10000,5,0.893003006,2239.634118
24,10000,1,0.877565799,2279.031387
24,10000,2,0.884971152,2259.960673
24,10000,3,0.874612971,2286.725748
24,10000,4,0.880312861,2271.919551
24,10000,5,0.885281679,2259.167955
