Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.675015124,127.591583
1,10000,2,15.674933871,127.592245
1,10000,3,15.671518640,127.620050
1,10000,4,15.837830191,126.279924
1,10000,5,15.674058340,127.599372
2,10000,1,8.419256193,237.550676
2,10000,2,8.412936126,237.729132
2,10000,3,8.413818876,237.704190
2,10000,4,8.401515348,238.052294
2,10000,5,8.405352858,237.943610
4,10000,1,4.127278490,484.580821
4,10000,2,4.116632415,485.834002
4,10000,3,4.128260658,484.465533
4,10000,4,4.111750311,486.410859
4,10000,5,4.125610177,484.776776
6,10000,1,2.765881250,723.096843
6,10000,2,2.754053726,726.202245
6,10000,3,2.748392815,727.698016
6,10000,4,2.739594181,730.035132
6,10000,5,2.770067655,722.004026
8,10000,1,2.280897654,876.847761
8,10000,2,2.282123469,876.376772
8,10000,3,2.293172793,872.154077
8,10000,4,2.340603637,854.480429
8,10000,5,2.392484851,835.950957
10,10000,1,1.806938485,1106.844542
10,10000,2,1.808921777,1105.631004
10,10000,3,1.808214394,1106.063532
10,10000,4,1.809255914,1105.426814
10,10000,5,1.803465650,1108.975932
12,10000,1,1.450110298,1379.205432
12,10000,2,1.442103157,1386.863339
12,10000,3,1.436529917,1392.243890
12,10000,4,1.447008303,1382.162076
12,10000,5,1.444250874,1384.800962
14,10000,1,1.235295017,1619.046440
14,10000,2,1.229053940,1627.267881
14,10000,3,1.239986070,1612.921345
14,10000,4,1.238719338,1614.570741
14,10000,5,1.239890877,1613.045178
16,10000,1,1.157404294,1728.004648
16,10000,2,1.160671113,1723.141015
16,10000,3,1.154359609,1732.562353
16,10000,4,1.162204782,1720.867123
16,10000,5,1.161704726,1721.607871
18,10000,1,1.83070092,1846.602556
18,10000,2,1.88721374,1837.017301
18,10000,3,1.83093575,1846.562519
18,10000,4,1.87826328,1838.528769
18,10000,5,1.93777712,1828.525100
20,10000,1,0.955295262,2093.593551
20,10000,2,0.954476637,2095.389161
20,10000,3,0.956470447,2091.021219
20,10000,4,0.959961954,2083.415902
20,10000,5,0.952916543,2098.819686
22,10000,1,0.892841211,2240.039971
22,10000,2,0.892422376,2241.091274
22,10000,3,0.888176567,2251.804511
22,10000,4,0.886993551,2254.807826
22,10000,5,0.890923393,2244.861922
24,10000,1,0.880306144,2271.936887
24,10000,2,0.878548275,2276.482758
24,10000,3,0.872762032,2291.575397
24,10000,4,0.878202610,2277.378793
24,10000,5,0.877036589,2280.406570
