Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.29225457,133.074057
1,10000,2,14.919616965,134.051699
1,10000,3,15.129856960,132.188956
1,10000,4,15.23028317,133.128951
1,10000,5,15.134391212,132.149353
2,10000,1,8.545060254,234.053353
2,10000,2,8.584155709,232.987386
2,10000,3,8.581162369,233.068658
2,10000,4,8.551413765,233.879456
2,10000,5,8.550826033,233.895532
4,10000,1,3.961119748,504.907735
4,10000,2,3.953075748,505.935157
4,10000,3,3.964368501,504.493969
4,10000,4,3.960684947,504.963163
4,10000,5,3.949799532,506.354812
6,10000,1,2.593466790,771.168541
6,10000,2,2.593088474,771.281050
6,10000,3,2.590252880,772.125384
6,10000,4,2.600037262,769.219745
6,10000,5,2.596251093,770.341515
8,10000,1,1.922070269,1040.544684
8,10000,2,1.917201034,1043.187420
8,10000,3,1.932593122,1034.878981
8,10000,4,1.914659776,1044.572004
8,10000,5,1.914603966,1044.602453
10,10000,1,1.528748786,1308.259420
10,10000,2,1.532476256,1305.077317
10,10000,3,1.530417586,1306.832866
10,10000,4,1.528639532,1308.352923
10,10000,5,1.538551433,1299.924044
12,10000,1,1.279568416,1563.027014
12,10000,2,1.283359152,1558.410206
12,10000,3,1.278712964,1564.072670
12,10000,4,1.276946026,1566.236912
12,10000,5,1.279783627,1562.764172
14,10000,1,1.98787104,1820.188818
14,10000,2,1.101479985,1815.738849
14,10000,3,1.102788784,1813.583915
14,10000,4,1.106484748,1807.526045
14,10000,5,1.100229754,1817.802139
16,10000,1,0.952987044,2098.664418
16,10000,2,0.954652007,2095.004237
16,10000,3,0.956769803,2090.366976
16,10000,4,0.958197709,2087.251912
16,10000,5,0.955759905,2092.575750
18,10000,1,0.852283288,2346.637589
18,10000,2,0.851482810,2348.843660
18,10000,3,0.852805141,2345.201622
18,10000,4,0.850402784,2351.826732
18,10000,5,0.853614471,2342.978087
20,10000,1,0.769868939,2597.844774
20,10000,2,0.769880707,2597.805065
20,10000,3,0.771266468,2593.137499
20,10000,4,0.769628869,2598.655119
20,10000,5,0.768567404,2602.244110
22,10000,1,0.701899256,2849.411768
22,10000,2,0.702550640,2846.769878
22,10000,3,0.703813553,2841.661675
22,10000,4,0.702917690,2845.283350
22,10000,5,0.702144271,2848.417459
24,10000,1,0.645902742,3096.441414
24,10000,2,0.645103910,3100.275737
24,10000,3,0.647467450,3088.958372
24,10000,4,0.646242124,3094.815280
24,10000,5,0.647879597,3086.993338
