Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.912307562,134.117405
1,10000,2,14.924011239,134.012228
1,10000,3,14.905839292,134.175605
1,10000,4,14.916899830,134.076117
1,10000,5,14.920926751,134.039932
2,10000,1,7.828035942,255.491929
2,10000,2,7.820291918,255.744929
2,10000,3,7.823764036,255.631431
2,10000,4,7.851068705,254.742389
2,10000,5,7.823336111,255.645414
4,10000,1,3.777665034,529.427565
4,10000,2,3.778927111,529.250748
4,10000,3,3.777806503,529.407739
4,10000,4,3.777497332,529.451069
4,10000,5,3.778611066,529.295015
6,10000,1,2.495587886,801.414373
6,10000,2,2.496670880,801.066739
6,10000,3,2.495680295,801.384698
6,10000,4,2.494244920,801.845875
6,10000,5,2.497307725,800.862457
8,10000,1,1.929790284,1036.382045
8,10000,2,1.931429124,1035.502662
8,10000,3,1.914590994,1044.609531
8,10000,4,1.904187369,1050.316808
8,10000,5,1.914766693,1044.513677
10,10000,1,1.509584808,1324.867599
10,10000,2,1.514307094,1320.736070
10,10000,3,1.513173765,1321.725268
10,10000,4,1.506761523,1327.350061
10,10000,5,1.503068059,1330.611736
12,10000,1,1.241740939,1610.641912
12,10000,2,1.243629073,1608.196562
12,10000,3,1.243687375,1608.121173
12,10000,4,1.243969780,1607.756098
12,10000,5,1.243019770,1608.984868
14,10000,1,1.80356636,1851.240538
14,10000,2,1.81116087,1849.940098
14,10000,3,1.80422474,1851.127728
14,10000,4,1.79934078,1851.964894
14,10000,5,1.80158946,1851.579351
16,10000,1,0.946294322,2113.507345
16,10000,2,0.944655752,2117.173368
16,10000,3,0.946495816,2113.057413
16,10000,4,0.946182116,2113.757982
16,10000,5,0.946754204,2112.480717
18,10000,1,0.845395536,2365.756518
18,10000,2,0.842869646,2372.846157
18,10000,3,0.846739637,2362.001154
18,10000,4,0.845369804,2365.828529
18,10000,5,0.844887272,2367.179701
20,10000,1,0.768018938,2604.102452
20,10000,2,0.766899548,2607.903480
20,10000,3,0.763925670,2618.055759
20,10000,4,0.766332461,2609.833332
20,10000,5,0.765837518,2611.520007
22,10000,1,0.701520152,2850.951600
22,10000,2,0.701875685,2849.507459
22,10000,3,0.701166602,2852.389139
22,10000,4,0.700065537,2856.875384
22,10000,5,0.701664164,2850.366461
24,10000,1,0.646793477,3092.177134
24,10000,2,0.648403695,3084.498154
24,10000,3,0.648350803,3084.749785
24,10000,4,0.648284247,3085.066480
24,10000,5,0.647932694,3086.740364
