Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,15.159142781,131.933582
1,10000,2,14.943878519,133.834064
1,10000,3,14.948065079,133.796581
1,10000,4,15.52558132,132.867781
1,10000,5,15.44633027,132.937772
2,10000,1,8.443620256,236.865224
2,10000,2,8.567792853,233.432348
2,10000,3,8.708651454,229.656682
2,10000,4,8.417223368,237.608046
2,10000,5,8.689967010,230.150471
4,10000,1,4.85464657,489.540399
4,10000,2,4.14748239,498.163242
4,10000,3,4.22145212,497.247089
4,10000,4,3.957190501,505.409077
4,10000,5,4.27372680,496.601670
6,10000,1,2.598545224,769.661417
6,10000,2,2.678207831,746.768035
6,10000,3,2.664805719,750.523757
6,10000,4,2.680139620,746.229780
6,10000,5,2.592522820,771.449333
8,10000,1,1.930272477,1036.123150
8,10000,2,1.930192091,1036.166301
8,10000,3,1.918324652,1042.576395
8,10000,4,1.914547824,1044.633085
8,10000,5,1.981243617,1009.466975
10,10000,1,1.535079738,1302.863917
10,10000,2,1.535082403,1302.861655
10,10000,3,1.552826089,1287.974239
10,10000,4,1.544623606,1294.813825
10,10000,5,1.550712427,1289.729782
12,10000,1,1.281607865,1560.539737
12,10000,2,1.275510854,1567.999201
12,10000,3,1.281697095,1560.431094
12,10000,4,1.279977737,1562.527177
12,10000,5,1.275494269,1568.019589
14,10000,1,1.100936141,1816.635793
14,10000,2,1.96490119,1824.001845
14,10000,3,1.103612762,1812.229859
14,10000,4,1.99097634,1819.674557
14,10000,5,1.101550118,1815.623245
16,10000,1,0.955199045,2093.804438
16,10000,2,0.956010223,2092.027838
16,10000,3,0.950849408,2103.382495
16,10000,4,0.956693317,2090.534097
16,10000,5,0.954946667,2094.357799
18,10000,1,0.850986045,2350.214803
18,10000,2,0.853197652,2344.122719
18,10000,3,0.850577394,2351.343939
18,10000,4,0.850989645,2350.204861
18,10000,5,0.851786387,2348.006531
20,10000,1,0.769134174,2600.326533
20,10000,2,0.768631496,2602.027123
20,10000,3,0.770175172,2596.811833
20,10000,4,0.769169722,2600.206356
20,10000,5,0.768755002,2601.609088
22,10000,1,0.703086797,2844.599000
22,10000,2,0.702529397,2846.855959
22,10000,3,0.701717228,2850.150916
22,10000,4,0.703020535,2844.867113
22,10000,5,0.703498261,2842.935244
24,10000,1,0.647543763,3088.594338
24,10000,2,0.646960157,3091.380479
24,10000,3,0.647021596,3091.086932
24,10000,4,0.648267651,3085.145459
24,10000,5,0.647033964,3091.027846
