Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.431864726,138.582230
1,10000,2,14.439707473,138.506961
1,10000,3,14.440373629,138.500571
1,10000,4,14.486391478,138.060607
1,10000,5,14.400271037,138.886275
2,10000,1,8.293700599,241.146877
2,10000,2,8.348954520,239.550952
2,10000,3,8.341252044,239.772158
2,10000,4,8.323723520,240.277082
2,10000,5,8.322374687,240.316025
4,10000,1,3.927213591,509.266928
4,10000,2,3.916124617,510.708978
4,10000,3,3.920570416,510.129850
4,10000,4,3.937828728,507.894106
4,10000,5,3.914715829,510.892767
6,10000,1,2.604466729,767.911518
6,10000,2,2.594439866,770.879305
6,10000,3,2.592126486,771.567287
6,10000,4,2.596212821,770.352871
6,10000,5,2.596699941,770.208359
8,10000,1,1.897688011,1053.914020
8,10000,2,1.890171455,1058.105070
8,10000,3,1.891483865,1057.370902
8,10000,4,1.890131897,1058.127215
8,10000,5,1.888914623,1058.809104
10,10000,1,1.530293101,1306.939173
10,10000,2,1.522612852,1313.531537
10,10000,3,1.523231253,1312.998270
10,10000,4,1.525995441,1310.619905
10,10000,5,1.523199181,1313.025916
12,10000,1,1.293058470,1546.720467
12,10000,2,1.290060899,1550.314409
12,10000,3,1.291577080,1548.494496
12,10000,4,1.296054809,1543.144616
12,10000,5,1.286771782,1554.277167
14,10000,1,1.93221283,1829.455785
14,10000,2,1.109544102,1802.542140
14,10000,3,1.97102963,1822.982954
14,10000,4,1.106434559,1807.608036
14,10000,5,1.112006066,1798.551340
16,10000,1,0.949592768,2106.165998
16,10000,2,0.943639135,2119.454276
16,10000,3,0.943815639,2119.057915
16,10000,4,0.944545716,2117.420011
16,10000,5,0.944224120,2118.141189
18,10000,1,0.853046900,2344.536977
18,10000,2,0.857395380,2332.646112
18,10000,3,0.852423217,2346.252378
18,10000,4,0.852117058,2347.095368
18,10000,5,0.850855552,2350.575248
20,10000,1,0.802103507,2493.443779
20,10000,2,0.801718312,2494.641784
20,10000,3,0.801846171,2494.243999
20,10000,4,0.794504956,2517.290779
20,10000,5,0.789850553,2532.124580
22,10000,1,0.730122116,2739.267797
22,10000,2,0.728659696,2744.765507
22,10000,3,0.730294565,2738.620956
22,10000,4,0.735696962,2718.510614
22,10000,5,0.731541075,2733.954481
24,10000,1,0.661331236,3024.203139
24,10000,2,0.662892244,3017.081612
24,10000,3,0.667045016,2998.298394
24,10000,4,0.666035846,3002.841382
24,10000,5,0.666307813,3001.615711
