Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,14.407747058,138.814208
1,10000,2,14.413693153,138.756943
1,10000,3,14.438003813,138.523305
1,10000,4,14.416903984,138.726040
1,10000,5,14.409894662,138.793520
2,10000,1,7.871760553,254.072769
2,10000,2,7.887368689,253.569990
2,10000,3,7.867989713,254.194537
2,10000,4,7.884527723,253.661357
2,10000,5,7.880629381,253.786836
4,10000,1,3.716546773,538.133951
4,10000,2,3.717601558,537.981268
4,10000,3,3.765205480,531.179509
4,10000,4,3.746888695,533.776197
4,10000,5,3.715890898,538.228935
6,10000,1,2.476748762,807.510245
6,10000,2,2.477225729,807.354766
6,10000,3,2.481409470,805.993539
6,10000,4,2.491340018,802.780827
6,10000,5,2.490463808,803.063266
8,10000,1,1.886965213,1059.902952
8,10000,2,1.898381275,1053.529144
8,10000,3,1.893992052,1055.970640
8,10000,4,1.884788642,1061.126938
8,10000,5,1.897688269,1053.913877
10,10000,1,1.553132925,1287.719787
10,10000,2,1.515465288,1319.726698
10,10000,3,1.512425479,1322.379203
10,10000,4,1.508357980,1325.945184
10,10000,5,1.515990049,1319.269873
12,10000,1,1.269503951,1575.418492
12,10000,2,1.260623871,1586.516047
12,10000,3,1.262436039,1584.238677
12,10000,4,1.261524651,1585.383209
12,10000,5,1.262275353,1584.440348
14,10000,1,1.72945387,1864.027773
14,10000,2,1.98334357,1820.939122
14,10000,3,1.72443825,1864.899544
14,10000,4,1.76432666,1857.988951
14,10000,5,1.69216845,1870.527956
16,10000,1,0.943512641,2119.738425
16,10000,2,0.943815692,2119.057796
16,10000,3,0.942752900,2121.446670
16,10000,4,0.940557634,2126.398136
16,10000,5,0.940090961,2127.453707
18,10000,1,0.842855155,2372.886952
18,10000,2,0.843731061,2370.423577
18,10000,3,0.860654606,2323.812579
18,10000,4,0.844721439,2367.644418
18,10000,5,0.842803794,2373.031558
20,10000,1,0.773777412,2584.722646
20,10000,2,0.773295529,2586.333329
20,10000,3,0.773471377,2585.745329
20,10000,4,0.773106845,2586.964548
20,10000,5,0.790751236,2529.240435
22,10000,1,0.734205630,2724.032503
22,10000,2,0.738830429,2706.981090
22,10000,3,0.729043746,2743.319603
22,10000,4,0.727627234,2748.660175
22,10000,5,0.737999904,2710.027453
24,10000,1,0.662900849,3017.042448
24,10000,2,0.660792576,3026.668387
24,10000,3,0.664788886,3008.473881
24,10000,4,0.662597963,3018.421595
24,10000,5,0.660068711,3029.987586
