Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,41.718567769,47.940284
1,10000,2,41.809639862,47.835858
1,10000,3,42.383514102,47.188159
1,10000,4,42.93233198,47.513575
1,10000,5,41.668002559,47.998461
4,10000,1,11.674912784,171.307490
4,10000,2,11.653151555,171.627391
4,10000,3,11.685040399,171.159015
4,10000,4,11.671042811,171.364293
4,10000,5,11.665663855,171.443308
5,10000,1,9.427844695,212.137563
5,10000,2,9.378287119,213.258559
5,10000,3,9.425934319,212.180558
5,10000,4,9.404312236,212.668396
5,10000,5,9.440384748,211.855772
6,10000,1,8.135833954,245.826059
6,10000,2,8.108314223,246.660396
6,10000,3,8.153780375,245.284998
6,10000,4,8.103443092,246.808669
6,10000,5,8.155027291,245.247493
7,10000,1,6.480642239,308.611389
7,10000,2,6.512335742,307.109473
7,10000,3,6.439321036,310.591752
7,10000,4,6.471201910,309.061597
7,10000,5,6.436162054,310.744196
8,10000,1,5.822588280,343.489854
8,10000,2,5.822438608,343.498684
8,10000,3,5.875692089,340.385434
8,10000,4,5.880405149,340.112620
8,10000,5,5.848529328,341.966311
9,10000,1,5.678112739,352.229709
9,10000,2,5.674516730,352.452922
9,10000,3,5.671498792,352.640470
9,10000,4,5.671897277,352.615695
9,10000,5,5.685773600,351.755124
10,10000,1,5.244389749,381.359909
10,10000,2,5.232080133,382.257142
10,10000,3,5.239577083,381.710197
10,10000,4,5.246358102,381.216829
10,10000,5,5.249256456,381.006342
11,10000,1,4.228211623,473.013221
11,10000,2,4.225331754,473.335614
11,10000,3,4.215900334,474.394516
11,10000,4,4.236348435,472.104698
11,10000,5,4.232159703,472.571959
12,10000,1,4.178037792,478.693612
12,10000,2,4.125327867,484.809951
12,10000,3,4.111089952,486.488990
12,10000,4,4.153164536,481.560502
12,10000,5,4.135680072,483.596401
13,10000,1,4.161418222,480.605383
13,10000,2,4.147467662,482.221964
13,10000,3,4.114001773,486.144662
13,10000,4,4.160380125,480.725304
13,10000,5,4.124774982,484.874935
14,10000,1,3.926153223,509.404470
14,10000,2,3.925281374,509.517614
14,10000,3,3.929883380,508.920954
14,10000,4,3.934466578,508.328120
14,10000,5,3.919908434,510.216000
15,10000,1,3.755381426,532.569072
15,10000,2,3.749542690,533.398381
15,10000,3,3.753373728,532.853946
15,10000,4,3.762642316,531.541356
15,10000,5,3.772507242,530.151401
16,10000,1,3.78236102,649.722742
16,10000,2,3.152023881,634.512959
16,10000,3,3.78623206,649.641046
16,10000,4,3.77050165,649.973154
16,10000,5,3.80307847,649.285753
