Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,41.716145896,47.943068
1,10000,2,41.915198258,47.715389
1,10000,3,42.238526220,47.350137
1,10000,4,41.959405153,47.665118
1,10000,5,41.788776156,47.859741
4,10000,1,11.558792970,173.028447
4,10000,2,11.645754522,171.736404
4,10000,3,11.621914643,172.088684
4,10000,4,11.487587708,174.100956
4,10000,5,11.647868775,171.705231
5,10000,1,8.786708839,227.616510
5,10000,2,8.926829127,224.043719
5,10000,3,8.763165113,228.228040
5,10000,4,8.734000493,228.990140
5,10000,5,8.724270972,229.245516
6,10000,1,7.954587837,251.427232
6,10000,2,7.975902650,250.755317
6,10000,3,7.884615963,253.658518
6,10000,4,7.874914226,253.971020
6,10000,5,7.894307834,253.347100
7,10000,1,6.313048966,316.804132
7,10000,2,6.327844943,316.063370
7,10000,3,6.305503604,317.183230
7,10000,4,6.330708717,315.920395
7,10000,5,6.332355538,315.838236
8,10000,1,5.595188906,357.449951
8,10000,2,5.599719440,357.160751
8,10000,3,5.596241520,357.382717
8,10000,4,5.581728488,358.311947
8,10000,5,5.639283319,354.654995
9,10000,1,5.75797810,394.026727
9,10000,2,5.24778995,398.027456
9,10000,3,5.59345147,395.308077
9,10000,4,5.141172949,389.016285
9,10000,5,5.20074764,398.400441
10,10000,1,4.670622753,428.208422
10,10000,2,4.642164322,430.833521
10,10000,3,4.652726316,429.855501
10,10000,4,4.656394177,429.516902
10,10000,5,4.664943748,428.729714
11,10000,1,4.251532980,470.418555
11,10000,2,4.252889989,470.268454
11,10000,3,4.254135466,470.130774
11,10000,4,4.192047700,477.093808
11,10000,5,4.247905763,470.820237
12,10000,1,3.826509489,522.669552
12,10000,2,3.829902345,522.206526
12,10000,3,3.836449475,521.315350
12,10000,4,3.833039300,521.779153
12,10000,5,3.831523134,521.985626
13,10000,1,3.831450536,521.995516
13,10000,2,3.821940891,523.294331
13,10000,3,3.821356993,523.374289
13,10000,4,3.848056367,519.742906
13,10000,5,3.820791122,523.451803
14,10000,1,3.346263189,597.681619
14,10000,2,3.345901711,597.746190
14,10000,3,3.336873374,599.363469
14,10000,4,3.343831224,598.116312
14,10000,5,3.353924956,596.316264
15,10000,1,3.139548209,637.034333
15,10000,2,3.145861746,635.755847
15,10000,3,3.137780571,637.393200
15,10000,4,3.133137069,638.337856
15,10000,5,3.136250039,637.704257
16,10000,1,2.891114611,691.774720
16,10000,2,2.869896114,696.889337
16,10000,3,2.895032906,690.838434
16,10000,4,2.862406961,698.712666
16,10000,5,2.910494696,687.168406
