Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,42.87975517,47.519511
1,10000,2,42.92857519,47.513999
1,10000,3,42.85597505,47.522196
1,10000,4,42.183565696,47.411829
1,10000,5,41.970995948,47.651955
4,10000,1,10.754109214,185.975422
4,10000,2,10.711322656,186.718304
4,10000,3,10.735922727,186.290462
4,10000,4,10.700342234,186.909910
4,10000,5,10.713423851,186.681683
5,10000,1,8.563282434,233.555300
5,10000,2,8.567254557,233.447015
5,10000,3,8.553721125,233.816367
5,10000,4,8.523748448,234.638553
5,10000,5,8.566238345,233.474708
6,10000,1,7.310198325,273.590389
6,10000,2,7.339347569,272.503786
6,10000,3,7.356581771,271.865394
6,10000,4,7.348651492,272.158777
6,10000,5,7.348280627,272.172512
7,10000,1,6.374834346,313.733643
7,10000,2,6.382223297,313.370421
7,10000,3,6.380173097,313.471119
7,10000,4,6.405626236,312.225523
7,10000,5,6.388924914,313.041713
8,10000,1,5.628745772,355.318943
8,10000,2,5.628516022,355.333447
8,10000,3,5.618967961,355.937249
8,10000,4,5.627584949,355.392236
8,10000,5,5.629230788,355.288329
9,10000,1,5.125486034,390.206897
9,10000,2,5.129669792,389.888644
9,10000,3,5.129228819,389.922164
9,10000,4,5.131152106,389.776011
9,10000,5,5.146664683,388.601186
10,10000,1,4.627439529,432.204459
10,10000,2,4.615640761,433.309285
10,10000,3,4.613337931,433.525580
10,10000,4,4.614629559,433.404236
10,10000,5,4.620646558,432.839858
11,10000,1,4.356986924,459.032821
11,10000,2,4.358832751,458.838435
11,10000,3,4.356115071,459.124694
11,10000,4,4.372639555,457.389633
11,10000,5,4.363265126,458.372329
12,10000,1,3.946821730,506.736847
12,10000,2,3.953675926,505.858355
12,10000,3,3.959938763,505.058315
12,10000,4,3.953101170,505.931904
12,10000,5,3.944242784,507.068177
13,10000,1,3.684366049,542.834228
13,10000,2,3.683720239,542.929395
13,10000,3,3.678669547,543.674819
13,10000,4,3.680122562,543.460161
13,10000,5,3.702707100,540.145344
14,10000,1,3.590248241,557.064544
14,10000,2,3.589850144,557.126320
14,10000,3,3.597930193,555.875154
14,10000,4,3.584591629,557.943612
14,10000,5,3.595605721,556.234514
15,10000,1,3.428873891,583.281877
15,10000,2,3.418808902,584.999062
15,10000,3,3.422861761,584.306390
15,10000,4,3.423772766,584.150917
15,10000,5,3.425981703,583.774279
16,10000,1,3.126321128,639.729547
16,10000,2,3.136979176,637.556033
16,10000,3,3.139214993,637.101952
16,10000,4,3.167840492,631.344919
16,10000,5,3.163829901,632.145236
