Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.563789089,97.258340
1,10000,2,20.556050490,97.294955
1,10000,3,20.533152194,97.403457
1,10000,4,20.560541526,97.273703
1,10000,5,20.688231376,96.673319
4,10000,1,5.413767003,369.428533
4,10000,2,5.398654159,370.462701
4,10000,3,5.400052800,370.366749
4,10000,4,5.389203655,371.112344
4,10000,5,5.417517759,369.172763
5,10000,1,4.256554740,469.863569
5,10000,2,4.234260438,472.337502
5,10000,3,4.269116792,468.480976
5,10000,4,4.262691621,469.187119
5,10000,5,4.256715690,469.845803
6,10000,1,3.683857557,542.909157
6,10000,2,3.705225031,539.778282
6,10000,3,3.704117723,539.939643
6,10000,4,3.690620049,541.914359
6,10000,5,3.692265105,541.672914
7,10000,1,3.38747073,658.165998
7,10000,2,3.38614173,658.194784
7,10000,3,3.38549694,658.208751
7,10000,4,3.48302647,656.102832
7,10000,5,3.43457543,657.147331
8,10000,1,2.723238818,734.419613
8,10000,2,2.713730502,736.992859
8,10000,3,2.713260562,737.120507
8,10000,4,2.716616787,736.209836
8,10000,5,2.711504698,737.597837
9,10000,1,2.508934824,797.151038
9,10000,2,2.509072702,797.107233
9,10000,3,2.496431515,801.143547
9,10000,4,2.513790639,795.611205
9,10000,5,2.502437351,799.220807
10,10000,1,2.366946453,844.970530
10,10000,2,2.369566974,844.036072
10,10000,3,2.373522785,842.629366
10,10000,4,2.369255515,844.147027
10,10000,5,2.366998893,844.951810
11,10000,1,2.143221002,933.174879
11,10000,2,2.123254909,941.950018
11,10000,3,2.137994000,935.456320
11,10000,4,2.130033947,938.952172
11,10000,5,2.136894588,935.937604
12,10000,1,1.909267626,1047.522083
12,10000,2,1.907538949,1048.471383
12,10000,3,1.908426350,1047.983853
12,10000,4,1.919429987,1041.976010
12,10000,5,1.909855898,1047.199426
13,10000,1,1.914421463,1044.702036
13,10000,2,1.910370681,1046.917240
13,10000,3,1.898690236,1053.357711
13,10000,4,1.907331347,1048.585503
13,10000,5,1.904290619,1050.259861
14,10000,1,1.786992055,1119.199156
14,10000,2,1.791187919,1116.577428
14,10000,3,1.801659139,1110.087894
14,10000,4,1.787314197,1118.997434
14,10000,5,1.800683202,1110.689541
15,10000,1,1.681767389,1189.225105
15,10000,2,1.646041897,1215.035901
15,10000,3,1.648672843,1213.096952
15,10000,4,1.649145938,1212.748947
15,10000,5,1.665903988,1200.549380
16,10000,1,1.502188418,1331.390907
16,10000,2,1.504509914,1329.336538
16,10000,3,1.505750882,1328.240962
16,10000,4,1.506534238,1327.550314
16,10000,5,1.513632652,1321.324561
