Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.609918107,97.040657
1,10000,2,20.601736297,97.079196
1,10000,3,20.619006609,96.997883
1,10000,4,20.605621520,97.060892
1,10000,5,20.730963907,96.474048
4,10000,1,5.653807403,353.743921
4,10000,2,5.599397292,357.181299
4,10000,3,5.684370804,351.841931
4,10000,4,5.681294542,352.032444
4,10000,5,5.656037857,353.604422
5,10000,1,4.359389378,458.779849
5,10000,2,4.335553004,461.302168
5,10000,3,4.340228940,460.805185
5,10000,4,4.349021031,459.873610
5,10000,5,4.336633090,461.187276
6,10000,1,3.842290345,520.522871
6,10000,2,3.833897385,521.662371
6,10000,3,3.855549879,518.732752
6,10000,4,3.844243450,520.258414
6,10000,5,3.848269106,519.714174
7,10000,1,3.149162663,635.089455
7,10000,2,3.153507417,634.214459
7,10000,3,3.147420565,635.440977
7,10000,4,3.145090402,635.911769
7,10000,5,3.144910153,635.948216
8,10000,1,2.770331853,721.935171
8,10000,2,2.773622861,721.078568
8,10000,3,2.758769526,724.960886
8,10000,4,2.776982284,720.206251
8,10000,5,2.966540224,674.186038
9,10000,1,2.479971041,806.461030
9,10000,2,2.478042664,807.088606
9,10000,3,2.477913630,807.130634
9,10000,4,2.480686322,806.228495
9,10000,5,2.473321458,808.629219
10,10000,1,2.236958164,894.071258
10,10000,2,2.231853070,896.116338
10,10000,3,2.238250108,893.555190
10,10000,4,2.234973575,894.865166
10,10000,5,2.234683996,894.981126
11,10000,1,2.188235403,913.978449
11,10000,2,2.179749007,917.536833
11,10000,3,2.183127862,916.116749
11,10000,4,2.187335401,914.354515
11,10000,5,2.194465354,911.383721
12,10000,1,1.849390314,1081.437480
12,10000,2,1.850263961,1080.926853
12,10000,3,1.851616020,1080.137555
12,10000,4,1.849844125,1081.172177
12,10000,5,1.852504656,1079.619419
13,10000,1,1.850570455,1080.747828
13,10000,2,1.849980056,1081.092736
13,10000,3,1.849817898,1081.187506
13,10000,4,1.850683626,1080.681739
13,10000,5,1.856117920,1077.517747
14,10000,1,1.633059519,1224.695106
14,10000,2,1.628935882,1227.795411
14,10000,3,1.629326456,1227.501090
14,10000,4,1.628007058,1228.495903
14,10000,5,1.632554722,1225.073790
15,10000,1,1.541553705,1297.392360
15,10000,2,1.543095635,1296.095948
15,10000,3,1.541068744,1297.800639
15,10000,4,1.543947073,1295.381192
15,10000,5,1.537373961,1300.919653
16,10000,1,1.506872085,1327.252671
16,10000,2,1.504575708,1329.278407
16,10000,3,1.501313659,1332.166658
16,10000,4,1.497420160,1335.630475
16,10000,5,1.504964650,1328.934869
