Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,31.643233173,63.204667
1,10000,2,31.382669837,63.729441
1,10000,3,31.703426913,63.084663
1,10000,4,31.966707270,62.565093
1,10000,5,32.67693995,62.368064
4,10000,1,12.669265418,157.862349
4,10000,2,12.791515414,156.353640
4,10000,3,12.950261209,154.437039
4,10000,4,12.919206164,154.808273
4,10000,5,12.964131559,154.271807
5,10000,1,10.174527295,196.569329
5,10000,2,10.309101240,194.003333
5,10000,3,10.296341881,194.243744
5,10000,4,10.152992802,196.986252
5,10000,5,10.322076018,193.759472
6,10000,1,7.31016494,284.453891
6,10000,2,6.563077000,304.735111
6,10000,3,6.585975493,303.675591
6,10000,4,6.454935517,309.840431
6,10000,5,6.328237323,316.043773
7,10000,1,6.777813426,295.080415
7,10000,2,6.316640920,316.623982
7,10000,3,6.423475172,311.357940
7,10000,4,6.458903001,309.650106
7,10000,5,6.531612848,306.203084
8,10000,1,4.715708241,424.114449
8,10000,2,4.717339327,423.967805
8,10000,3,4.590944085,435.640244
8,10000,4,4.863140823,411.256855
8,10000,5,4.724248321,423.347772
9,10000,1,5.33498397,397.337963
9,10000,2,4.896811212,408.429060
9,10000,3,4.940048180,404.854351
9,10000,4,4.730331219,422.803374
9,10000,5,4.895319519,408.553516
10,10000,1,4.377568067,456.874678
10,10000,2,4.531164858,441.387604
10,10000,3,4.216141056,474.367431
10,10000,4,4.196346244,476.605095
10,10000,5,4.159985271,480.770933
11,10000,1,4.7684175,499.041320
11,10000,2,3.857801078,518.430049
11,10000,3,3.906561089,511.959228
11,10000,4,3.898849137,512.971887
11,10000,5,3.985271170,501.847908
12,10000,1,3.239801567,617.321758
12,10000,2,3.225096261,620.136529
12,10000,3,3.267294647,612.127223
12,10000,4,3.261046170,613.300118
12,10000,5,3.244726662,616.384740
13,10000,1,3.279317169,609.883063
13,10000,2,3.311029586,604.041718
13,10000,3,3.196175193,625.747927
13,10000,4,3.208025675,623.436407
13,10000,5,3.258370579,613.803725
14,10000,1,2.900462584,689.545182
14,10000,2,2.929244561,682.769895
14,10000,3,2.885104861,693.215705
14,10000,4,2.939529192,680.381064
14,10000,5,2.905281567,688.401435
15,10000,1,2.756479711,725.563113
15,10000,2,2.732856931,731.834871
15,10000,3,2.803825040,713.311270
15,10000,4,2.719609687,735.399646
15,10000,5,2.722526472,734.611774
16,10000,1,2.760788010,724.430848
16,10000,2,2.816165005,710.185659
16,10000,3,2.761390690,724.272740
16,10000,4,2.714273195,736.845504
16,10000,5,2.716420934,736.262917
