Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.506678355,97.529203
1,10000,2,20.824302251,96.041633
1,10000,3,20.655014966,96.828785
1,10000,4,20.387347139,98.100061
1,10000,5,20.638625686,96.905677
4,10000,1,5.315771114,376.238923
4,10000,2,5.314645056,376.318640
4,10000,3,5.309119723,376.710284
4,10000,4,5.272189390,379.349043
4,10000,5,5.309258561,376.700433
5,10000,1,4.229587360,472.859367
5,10000,2,4.186682253,477.705228
5,10000,3,4.204277130,475.706034
5,10000,4,4.196237534,476.617442
5,10000,5,4.220143717,473.917509
6,10000,1,3.623489181,551.954180
6,10000,2,3.600951901,555.408696
6,10000,3,3.574223425,559.562110
6,10000,4,3.595888967,556.190700
6,10000,5,3.663682824,545.898784
7,10000,1,3.134252207,638.110742
7,10000,2,3.184352642,628.071142
7,10000,3,3.144219342,636.087939
7,10000,4,3.126698929,639.652248
7,10000,5,3.149749696,634.971091
8,10000,1,2.777987042,719.945763
8,10000,2,2.756740782,725.494400
8,10000,3,2.788985807,717.106554
8,10000,4,2.767434255,722.691062
8,10000,5,2.766140186,723.029155
9,10000,1,2.535438366,788.818228
9,10000,2,2.496216099,801.212684
9,10000,3,2.525187569,792.020373
9,10000,4,2.496750407,801.041223
9,10000,5,2.529806720,790.574230
10,10000,1,2.214518961,903.130673
10,10000,2,2.228451967,897.484007
10,10000,3,2.242907613,891.699680
10,10000,4,2.276736107,878.450512
10,10000,5,2.263587127,883.553355
11,10000,1,2.135389839,936.597133
11,10000,2,2.129995631,938.969062
11,10000,3,2.114600386,945.805181
11,10000,4,2.159318714,926.218065
11,10000,5,2.127237252,940.186619
12,10000,1,1.916291082,1043.682778
12,10000,2,1.939703555,1031.085392
12,10000,3,1.958221729,1021.334801
12,10000,4,1.923174827,1039.947056
12,10000,5,1.926551242,1038.124477
13,10000,1,1.794730832,1114.373233
13,10000,2,1.802579046,1109.521385
13,10000,3,1.794958360,1114.231976
13,10000,4,1.801435995,1110.225401
13,10000,5,1.822828171,1097.196122
14,10000,1,1.727517694,1157.730544
14,10000,2,1.719352398,1163.228668
14,10000,3,1.709084469,1170.217175
14,10000,4,1.722860151,1160.860328
14,10000,5,1.719884494,1162.868790
15,10000,1,1.657515303,1206.625360
15,10000,2,1.630265987,1226.793674
15,10000,3,1.635256793,1223.049498
15,10000,4,1.660467436,1204.480110
15,10000,5,1.651761362,1210.828662
16,10000,1,1.518631143,1316.975494
16,10000,2,1.509106509,1325.287505
16,10000,3,1.519197494,1316.484531
16,10000,4,1.514325493,1320.720023
16,10000,5,1.506243720,1327.806366
