Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,20.715356624,96.546733
1,10000,2,20.523138787,97.450981
1,10000,3,20.895619781,95.713840
1,10000,4,21.185738694,94.403128
1,10000,5,20.767707840,96.303358
4,10000,1,5.517000532,362.515825
4,10000,2,5.673687369,352.504442
4,10000,3,5.489007748,364.364580
4,10000,4,5.621420676,355.781948
4,10000,5,5.566031271,359.322451
5,10000,1,4.389859521,455.595445
5,10000,2,4.519995637,442.478303
5,10000,3,4.429915022,451.475929
5,10000,4,4.517696913,442.703448
5,10000,5,4.569559113,437.678986
6,10000,1,3.829513437,522.259559
6,10000,2,3.864997770,517.464723
6,10000,3,3.741062293,534.607511
6,10000,4,3.874339223,516.217059
6,10000,5,3.706480412,539.595459
7,10000,1,3.264808305,612.593394
7,10000,2,3.200912938,624.821743
7,10000,3,3.271557299,611.329657
7,10000,4,3.254433819,614.546219
7,10000,5,3.325787383,601.361353
8,10000,1,2.870197060,696.816267
8,10000,2,2.877653877,695.010618
8,10000,3,2.861619638,698.904905
8,10000,4,2.789200233,717.051424
8,10000,5,2.826160871,707.673799
9,10000,1,2.534340786,789.159852
9,10000,2,2.502985266,799.045854
9,10000,3,2.582197284,774.534158
9,10000,4,2.495077716,801.578238
9,10000,5,2.514244647,795.467538
10,10000,1,2.266694260,882.342200
10,10000,2,2.232443100,895.879496
10,10000,3,2.243950805,891.285137
10,10000,4,2.248518878,889.474409
10,10000,5,2.264441841,883.219857
11,10000,1,2.101064654,951.898361
11,10000,2,2.119386488,943.669317
11,10000,3,2.128176647,939.771613
11,10000,4,2.143847014,932.902389
11,10000,5,2.165452114,923.594656
12,10000,1,1.882574583,1062.374908
12,10000,2,1.884949477,1061.036396
12,10000,3,1.917239086,1043.166715
12,10000,4,1.893708988,1056.128483
12,10000,5,1.903603448,1050.638988
13,10000,1,1.781766159,1122.481752
13,10000,2,1.743618830,1147.039689
13,10000,3,1.751723991,1141.732379
13,10000,4,1.761063512,1135.677383
13,10000,5,1.811104226,1104.298677
14,10000,1,1.707278804,1171.454829
14,10000,2,1.697525558,1178.185501
14,10000,3,1.704414357,1173.423582
14,10000,4,1.700150414,1176.366505
14,10000,5,1.704787076,1173.167035
15,10000,1,1.669506037,1197.959130
15,10000,2,1.673990604,1194.749836
15,10000,3,1.676182598,1193.187426
15,10000,4,1.674156756,1194.631263
15,10000,5,1.659132254,1205.449412
16,10000,1,1.504656870,1329.206705
16,10000,2,1.507564138,1326.643391
16,10000,3,1.513440135,1321.492640
16,10000,4,1.497553612,1335.511453
16,10000,5,1.491540939,1340.895143
