Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,,
1,10000,2,,
1,10000,3,,
1,10000,4,,
1,10000,5,,
4,10000,1,,
4,10000,2,,
4,10000,3,,
4,10000,4,,
4,10000,5,,
5,10000,1,,
5,10000,2,,
5,10000,3,,
5,10000,4,,
5,10000,5,,
6,10000,1,,
6,10000,2,,
6,10000,3,,
6,10000,4,,
6,10000,5,,
7,10000,1,,
7,10000,2,,
7,10000,3,,
7,10000,4,,
7,10000,5,,
8,10000,1,,
8,10000,2,,
8,10000,3,,
8,10000,4,,
8,10000,5,,
9,10000,1,,
9,10000,2,,
9,10000,3,,
9,10000,4,,
9,10000,5,,
10,10000,1,,
10,10000,2,,
10,10000,3,,
10,10000,4,,
10,10000,5,,
11,10000,1,,
11,10000,2,,
11,10000,3,,
11,10000,4,,
11,10000,5,,
12,10000,1,,
12,10000,2,,
12,10000,3,,
12,10000,4,,
12,10000,5,,
13,10000,1,,
13,10000,2,,
13,10000,3,,
13,10000,4,,
13,10000,5,,
14,10000,1,,
14,10000,2,,
14,10000,3,,
14,10000,4,,
14,10000,5,,
15,10000,1,,
15,10000,2,,
15,10000,3,,
15,10000,4,,
15,10000,5,,
16,10000,1,,
16,10000,2,,
16,10000,3,,
16,10000,4,,
16,10000,5,,
