Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.741989195,65.057599
1,10000,2,30.792705546,64.950447
1,10000,3,30.754861794,65.030369
1,10000,4,30.778370840,64.980697
1,10000,5,30.428969371,65.726840
2,10000,1,18.343604235,109.029827
2,10000,2,18.149170636,110.197873
2,10000,3,18.399131563,108.700783
2,10000,4,18.91981181,110.546213
2,10000,5,18.328499510,109.119680
3,10000,1,12.42170390,166.083018
3,10000,2,11.317415153,176.718798
3,10000,3,11.569060768,172.874881
3,10000,4,11.296067775,177.052762
3,10000,5,11.310898868,176.820607
4,10000,1,9.505272509,210.409538
4,10000,2,8.846445709,226.079497
4,10000,3,9.480879192,210.950900
4,10000,4,9.512460203,210.250551
4,10000,5,8.690023989,230.148962
5,10000,1,6.767899529,295.512661
5,10000,2,6.818091300,293.337228
5,10000,3,7.266960701,275.218222
5,10000,4,6.979775360,286.542173
5,10000,5,6.768284135,295.495869
6,10000,1,6.365275340,314.204790
6,10000,2,6.338912734,315.511521
6,10000,3,6.368982509,314.021902
6,10000,4,6.358979040,314.515898
6,10000,5,6.356428164,314.642115
7,10000,1,4.664265202,428.792085
7,10000,2,4.713794205,424.286660
7,10000,3,4.673562681,427.939056
7,10000,4,4.650255147,430.083928
7,10000,5,4.759338547,420.226462
8,10000,1,4.225145690,473.356458
8,10000,2,4.219029232,474.042698
8,10000,3,4.225508474,473.315818
8,10000,4,4.215766599,474.409565
8,10000,5,4.216293566,474.350272
9,10000,1,3.896045631,513.341010
9,10000,2,3.915858026,510.743747
9,10000,3,3.910718935,511.414917
9,10000,4,3.906113266,512.017923
9,10000,5,3.905123051,512.147754
10,10000,1,3.682281988,543.141456
10,10000,2,3.693275453,541.524732
10,10000,3,3.687358806,542.393650
10,10000,4,3.686441359,542.528635
10,10000,5,3.697070741,540.968821
