Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.807438435,64.919386
1,10000,2,30.826094325,64.880097
1,10000,3,30.785233513,64.966212
1,10000,4,30.817223283,64.898774
1,10000,5,30.790727031,64.954621
2,10000,1,18.540358696,107.872778
2,10000,2,18.490991548,108.160776
2,10000,3,19.583418425,102.127216
2,10000,4,18.740898800,106.718468
2,10000,5,18.703416972,106.932332
3,10000,1,11.965735650,167.143923
3,10000,2,12.33081837,166.208460
3,10000,3,11.967153802,167.124116
3,10000,4,12.91132443,165.410478
3,10000,5,11.967732886,167.116029
4,10000,1,9.985919033,200.282016
4,10000,2,9.633859995,207.601107
4,10000,3,9.633666903,207.605268
4,10000,4,9.690631732,206.384894
4,10000,5,9.704408263,206.091906
5,10000,1,7.110756640,281.264020
5,10000,2,6.908924426,289.480660
5,10000,3,6.896082073,290.019750
5,10000,4,7.91889399,282.012294
5,10000,5,7.59049429,283.324266
6,10000,1,6.423259159,311.368411
6,10000,2,6.413301766,311.851847
6,10000,3,6.367720787,314.084123
6,10000,4,6.440698422,310.525330
6,10000,5,6.425566746,311.256591
7,10000,1,5.7651304,399.388831
7,10000,2,4.936157735,405.173438
7,10000,3,4.939487781,404.900283
7,10000,4,4.934063445,405.345416
7,10000,5,4.931799045,405.531527
8,10000,1,4.418838723,452.607602
8,10000,2,4.508920460,443.565154
8,10000,3,4.411972746,453.311957
8,10000,4,4.413057955,453.200484
8,10000,5,4.419088307,452.582040
9,10000,1,4.312335204,463.785839
9,10000,2,4.325237326,462.402372
9,10000,3,4.259972316,469.486619
9,10000,4,4.304245233,464.657540
9,10000,5,4.312457184,463.772720
10,10000,1,3.756910212,532.352355
10,10000,2,3.759478775,531.988640
10,10000,3,3.735516569,535.401186
10,10000,4,3.756394486,532.425443
10,10000,5,3.742892699,534.346069
