Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.841048278,67.021774
1,10000,2,29.948942031,66.780322
1,10000,3,29.849144115,67.003596
1,10000,4,29.988032981,66.693271
1,10000,5,30.2504856,66.661101
2,10000,1,15.231063111,131.310598
2,10000,2,15.233387513,131.290561
2,10000,3,15.24435164,133.116485
2,10000,4,15.287669705,130.824386
2,10000,5,15.392047789,129.937227
3,10000,1,9.995394442,200.092154
3,10000,2,9.955796744,200.887990
3,10000,3,9.995433335,200.091375
3,10000,4,9.944662756,201.112903
3,10000,5,9.997357452,200.052865
4,10000,1,7.379211138,271.031681
4,10000,2,7.377726418,271.086224
4,10000,3,7.379827595,271.009041
4,10000,4,7.376606475,271.127382
4,10000,5,7.446732284,268.574178
5,10000,1,6.74164310,329.263401
5,10000,2,6.89835293,328.416107
5,10000,3,6.367289910,314.105377
5,10000,4,6.54304144,330.343497
5,10000,5,6.53980511,330.361156
6,10000,1,4.866891315,410.939935
6,10000,2,4.864648017,411.129437
6,10000,3,4.863734373,411.206667
6,10000,4,4.865416294,411.064517
6,10000,5,4.863519647,411.224822
7,10000,1,4.282435536,467.023959
7,10000,2,4.276503928,467.671732
7,10000,3,4.283169858,466.943891
7,10000,4,4.273411339,468.010178
7,10000,5,4.281021092,467.178264
8,10000,1,3.794091774,527.135378
8,10000,2,3.752886440,532.923133
8,10000,3,3.751700200,533.091637
8,10000,4,3.795624385,526.922529
8,10000,5,3.758063678,532.188960
9,10000,1,3.317267867,602.905789
9,10000,2,3.317734999,602.820901
9,10000,3,3.304120600,605.304782
9,10000,4,3.307469013,604.691984
9,10000,5,3.306694437,604.833630
10,10000,1,2.957581119,676.228282
10,10000,2,2.962264969,675.159049
10,10000,3,2.957633810,676.216235
10,10000,4,2.956300332,676.521251
10,10000,5,2.960763528,675.501431
