Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,30.68694102,66.514362
1,10000,2,30.48462966,66.559145
1,10000,3,30.55125213,66.544391
1,10000,4,30.45306391,66.566138
1,10000,5,30.52627333,66.549922
2,10000,1,15.561046799,128.526058
2,10000,2,15.592329047,128.268201
2,10000,3,15.755733149,126.937920
2,10000,4,15.590853146,128.280344
2,10000,5,15.556570530,128.563040
3,10000,1,10.68963811,198.630171
3,10000,2,10.160677453,196.837269
3,10000,3,10.69599850,198.617624
3,10000,4,10.64890035,198.710566
3,10000,5,10.64691937,198.714478
4,10000,1,7.537172900,265.351482
4,10000,2,7.535481897,265.411028
4,10000,3,7.540609130,265.230562
4,10000,4,7.507346764,266.405704
4,10000,5,7.540734117,265.226166
5,10000,1,6.433600129,310.867937
5,10000,2,6.439227596,310.596259
5,10000,3,6.444582795,310.338165
5,10000,4,6.439975328,310.560196
5,10000,5,6.422471579,311.406594
6,10000,1,4.899647443,408.192635
6,10000,2,4.901581393,408.031580
6,10000,3,4.900271509,408.140650
6,10000,4,4.902585740,407.947990
6,10000,5,4.901981253,407.998296
7,10000,1,4.360839496,458.627290
7,10000,2,4.354916561,459.251049
7,10000,3,4.360762589,458.635378
7,10000,4,4.354506833,459.294261
7,10000,5,4.390569364,455.521786
8,10000,1,3.875534402,516.057863
8,10000,2,3.872053336,516.521811
8,10000,3,3.865602964,517.383709
8,10000,4,3.854450999,518.880640
8,10000,5,3.871798267,516.555838
9,10000,1,3.373172488,592.913646
9,10000,2,3.393453568,589.370080
9,10000,3,3.371531342,593.202257
9,10000,4,3.374641696,592.655511
9,10000,5,3.379809586,591.749313
10,10000,1,2.980352472,671.061567
10,10000,2,2.979147519,671.332986
10,10000,3,3.9069006,664.657406
10,10000,4,2.981411843,670.823122
10,10000,5,2.978116777,671.565338
