Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,28.898654313,69.207375
1,10000,2,29.117684532,68.686780
1,10000,3,29.120391633,68.680395
1,10000,4,29.115039380,68.693021
1,10000,5,29.109540381,68.705997
2,10000,1,16.133886051,123.962695
2,10000,2,16.375847114,122.131086
2,10000,3,16.284243157,122.818112
2,10000,4,16.515169716,121.100784
2,10000,5,16.371807078,122.161225
3,10000,1,10.682086447,187.229340
3,10000,2,10.653940069,187.723977
3,10000,3,10.824130382,184.772349
3,10000,4,10.612716519,188.453163
3,10000,5,10.965166281,182.395775
4,10000,1,8.303308303,240.867848
4,10000,2,8.261976442,242.072828
4,10000,3,8.317018534,240.470788
4,10000,4,8.467339298,236.201707
4,10000,5,9.89028079,220.045530
5,10000,1,6.697812419,298.604959
5,10000,2,6.487245667,308.297250
5,10000,3,7.36205147,284.244129
5,10000,4,6.900180149,289.847505
5,10000,5,7.584360766,263.700536
6,10000,1,5.682796761,351.939386
6,10000,2,5.413660489,369.435801
6,10000,3,5.347337776,374.017891
6,10000,4,5.476707247,365.182930
6,10000,5,5.451435981,366.875812
7,10000,1,4.577054021,436.962289
7,10000,2,4.502961268,444.152166
7,10000,3,4.421456148,452.339667
7,10000,4,4.746242998,421.385926
7,10000,5,4.626708285,432.272769
8,10000,1,3.943214319,507.200430
8,10000,2,4.380319524,456.587696
8,10000,3,4.486115548,445.819993
8,10000,4,3.872030449,516.524864
8,10000,5,3.838536467,521.031913
9,10000,1,3.548524894,563.614476
9,10000,2,3.437704712,581.783535
9,10000,3,3.448551202,579.953692
9,10000,4,3.459540558,578.111448
9,10000,5,3.450285740,579.662135
10,10000,1,3.130703351,638.834082
10,10000,2,3.150705469,634.778471
10,10000,3,3.168900883,631.133656
10,10000,4,3.136874562,637.577296
10,10000,5,3.130819585,638.810364
