Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.148607148,68.613913
1,10000,2,29.143981925,68.624802
1,10000,3,28.993896251,68.980036
1,10000,4,28.998205615,68.969785
1,10000,5,28.994462167,68.978689
2,10000,1,15.19397512,133.161134
2,10000,2,15.6976630,133.271348
2,10000,3,15.48327256,132.905137
2,10000,4,15.38983383,132.987713
2,10000,5,15.8133724,133.261073
3,10000,1,9.831694677,203.423730
3,10000,2,9.785992899,204.373743
3,10000,3,9.783776063,204.420051
3,10000,4,9.784508149,204.404756
3,10000,5,9.785855236,204.376618
4,10000,1,7.533187598,265.491862
4,10000,2,7.376820672,271.119509
4,10000,3,7.377752602,271.085262
4,10000,4,7.375265885,271.176664
4,10000,5,7.377412644,271.097754
5,10000,1,6.676106590,299.575804
5,10000,2,7.187192402,278.272779
5,10000,3,6.609773949,302.582209
5,10000,4,7.53757343,283.536830
5,10000,5,6.792544912,294.440453
6,10000,1,4.914107934,406.991468
6,10000,2,4.892394204,408.797803
6,10000,3,5.35065593,397.214289
6,10000,4,4.889359156,409.051562
6,10000,5,4.893016634,408.745800
7,10000,1,4.387332793,455.857829
7,10000,2,4.671718750,428.107963
7,10000,3,5.182221641,385.934863
7,10000,4,4.308786292,464.167834
7,10000,5,4.865795687,411.032466
8,10000,1,3.839831883,520.856137
8,10000,2,3.844511540,520.222135
8,10000,3,4.275776440,467.751303
8,10000,4,3.860356187,518.086908
8,10000,5,4.67716326,491.676371
9,10000,1,3.398964721,588.414463
9,10000,2,3.474130731,575.683575
9,10000,3,3.429222640,583.222558
9,10000,4,3.446475984,580.302898
9,10000,5,3.556209754,562.396523
10,10000,1,3.59264064,653.752000
10,10000,2,3.136376584,637.678527
10,10000,3,3.88380950,647.588504
10,10000,4,3.61638188,653.245053
10,10000,5,3.92514068,646.723008
