Number of cores,Size,Iteration,Elapsed Time (s),GFLOPS
1,10000,1,29.161138496,68.584428
1,10000,2,29.163244071,68.579476
1,10000,3,28.998957240,68.967997
1,10000,4,29.145296607,68.621707
1,10000,5,29.144463599,68.623668
2,10000,1,17.339557118,115.343200
2,10000,2,17.804928643,112.328448
2,10000,3,17.604053876,113.610195
2,10000,4,17.971628675,111.286519
2,10000,5,18.355065487,108.961747
3,10000,1,11.433586966,174.923233
3,10000,2,11.326110328,176.583129
3,10000,3,11.600461562,172.406933
3,10000,4,11.268056969,177.492890
3,10000,5,11.225732996,178.162085
4,10000,1,8.376874834,238.752523
4,10000,2,8.464902300,236.269709
4,10000,3,8.695066078,230.015503
4,10000,4,8.787317813,227.600736
4,10000,5,8.646683425,231.302559
5,10000,1,6.584959189,303.722459
5,10000,2,7.146952233,279.839564
5,10000,3,7.239736717,276.253140
5,10000,4,6.933533372,288.453216
5,10000,5,7.804561842,256.260382
6,10000,1,5.562646676,359.541081
6,10000,2,5.576031962,358.678001
6,10000,3,5.539355005,361.052866
6,10000,4,5.836719091,342.658259
6,10000,5,5.886012154,339.788629
7,10000,1,5.242099261,381.526541
7,10000,2,4.775831462,418.775247
7,10000,3,4.754848091,420.623322
7,10000,4,4.826546992,414.374915
7,10000,5,4.796661907,416.956633
8,10000,1,4.237531832,471.972856
8,10000,2,4.221992268,473.710010
8,10000,3,4.204699674,475.658229
8,10000,4,4.217610663,474.202140
8,10000,5,4.541848837,440.349310
9,10000,1,3.771729827,530.260674
9,10000,2,3.767194529,530.899051
9,10000,3,3.683916346,542.900493
9,10000,4,3.737269832,535.150013
9,10000,5,3.725658230,536.817893
10,10000,1,3.343480561,598.179042
10,10000,2,3.386536919,590.573807
10,10000,3,3.596635862,556.075198
10,10000,4,3.382683351,591.246591
10,10000,5,3.587543492,557.484531
